"","id","index","value","biomass","weight_per_m2"
"214","L_26","ndvi",NA,"B_per_m2",NA
"215","L_26","mND_B5B6",NA,"A_per_m2",NA
"216","L_26","mND_B5B6",NA,"B_per_m2",NA
"217","L_25","ndvi",NA,"A_per_m2",8.48826363156775
"218","L_25","ndvi",NA,"B_per_m2",12.9587491441934
"219","L_25","mND_B5B6",NA,"A_per_m2",8.48826363156775
"220","L_25","mND_B5B6",NA,"B_per_m2",12.9587491441934
"221","L_24","ndvi",NA,"A_per_m2",18.5044147168177
"222","L_24","ndvi",NA,"B_per_m2",18.4478262926072
"223","L_24","mND_B5B6",NA,"A_per_m2",18.5044147168177
"224","L_24","mND_B5B6",NA,"B_per_m2",18.4478262926072
"225","L_22","ndvi",NA,"A_per_m2",14.033929204192
"226","L_22","ndvi",NA,"B_per_m2",28.9732731957513
"227","L_22","mND_B5B6",NA,"A_per_m2",14.033929204192
"228","L_22","mND_B5B6",NA,"B_per_m2",28.9732731957513
"229","L_23","ndvi",NA,"A_per_m2",14.0905176284025
"230","L_23","ndvi",NA,"B_per_m2",30.9538680431171
"231","L_23","mND_B5B6",NA,"A_per_m2",14.0905176284025
"232","L_23","mND_B5B6",NA,"B_per_m2",30.9538680431171
"233","L_20","ndvi",NA,"A_per_m2",3.2821286042062
"234","L_20","ndvi",NA,"B_per_m2",6.11154981472878
"235","L_20","mND_B5B6",NA,"A_per_m2",3.2821286042062
"236","L_20","mND_B5B6",NA,"B_per_m2",6.11154981472878
"237","L_21","ndvi",NA,"A_per_m2",40.6304885831043
"238","L_21","ndvi",NA,"B_per_m2",62.020912934655
"239","L_21","mND_B5B6",NA,"A_per_m2",40.6304885831043
"240","L_21","mND_B5B6",NA,"B_per_m2",62.020912934655
