Wavelength	AVEI200313.asd
325	 6.38540969041264E-02 
326	 5.49178039091593E-02 
327	 3.60998006495256E-02 
328	 2.93737535947474E-02 
329	 2.99222009006324E-02 
330	 3.36786532142432E-02 
331	 3.11218483539827E-02 
332	 3.08662319526331E-02 
333	 4.08730065175475E-02 
334	 4.52239904403676E-02 
335	 4.26810696750205E-02 
336	 3.48771402196569E-02 
337	 3.72142364133468E-02 
338	 4.84868474529054E-02 
339	 3.86011069496478E-02 
340	 2.78475753405742E-02 
341	 3.31233710000558E-02 
342	 3.40073336622714E-02 
343	 3.25360422230072E-02 
344	 3.97427461641081E-02 
345	 3.56087752875051E-02 
346	 2.23526493494247E-02 
347	 3.06746651768265E-02 
348	 3.78726400725141E-02 
349	 3.03942243817498E-02 
350	 3.24106694198136E-02 
351	 3.81803899763534E-02 
352	 3.36460256311231E-02 
353	 3.03536755710509E-02 
354	 3.04397321670917E-02 
355	 3.09472205094519E-02 
356	 3.08273643035739E-02 
357	 2.97196202666825E-02 
358	 2.96912946245343E-02 
359	 3.19793286012835E-02 
360	 3.80947431763084E-02 
361	 3.89837578418279E-02 
362	 3.46817033784894E-02 
363	 3.32070257310477E-02 
364	 3.32595770265695E-02 
365	 0.033716013160717 
366	 3.19419716392595E-02 
367	 2.92531913276702E-02 
368	 2.77453081380778E-02 
369	 2.89099260290392E-02 
370	 3.21198486864158E-02 
371	 3.43028311077776E-02 
372	 3.49904833652866E-02 
373	 3.43180236926952E-02 
374	 3.56597694845346E-02 
375	 3.68918539771497E-02 
376	 3.47304460788643E-02 
377	 3.24623771887591E-02 
378	 3.11615113129818E-02 
379	 3.15004360423227E-02 
380	 3.11595598771545E-02 
381	 2.92064756071616E-02 
382	 2.77350377311774E-02 
383	 2.75126110622835E-02 
384	 2.92441194252581E-02 
385	 3.04524362179255E-02 
386	 3.08756136712424E-02 
387	 3.20981752650326E-02 
388	 3.32466437870964E-02 
389	 3.34100738459805E-02 
390	 2.96559583063721E-02 
391	 2.61457892825747E-02 
392	 2.77550889891951E-02 
393	 3.15352058326081E-02 
394	 3.44630567180507E-02 
395	 2.98265030565689E-02 
396	 2.74295784057288E-02 
397	 0.030119481654833 
398	 2.79958442045575E-02 
399	 2.53361818676414E-02 
400	 2.71504132828606E-02 
401	 2.97968681068819E-02 
402	 3.16752544428717E-02 
403	 3.07545470595699E-02 
404	 2.97542864825011E-02 
405	 2.97874660602616E-02 
406	 3.02919841598371E-02 
407	 3.00590500285446E-02 
408	 2.77401810983844E-02 
409	 2.85568974007221E-02 
410	 3.14218694146327E-02 
411	 2.97013310270927E-02 
412	 2.78654503572858E-02 
413	 2.79757537094832E-02 
414	 2.83298398972045E-02 
415	 2.90590416286452E-02 
416	 3.05273294758302E-02 
417	 3.17236098302063E-02 
418	 3.19015464191788E-02 
419	 2.94314271287713E-02 
420	 2.78407734788019E-02 
421	 2.88535998587939E-02 
422	 2.95141427831235E-02 
423	 2.95233315126733E-02 
424	 2.89917257992261E-02 
425	 2.84448559711924E-02 
426	 2.81878701601101E-02 
427	 2.86564459416717E-02 
428	 0.029010247890318 
429	 0.028794464793752 
430	 2.91815751731406E-02 
431	 2.98039572011476E-02 
432	 2.98261630569883E-02 
433	 2.93956217456067E-02 
434	 2.87148238761459E-02 
435	 2.82013195794312E-02 
436	 2.82454826115376E-02 
437	 2.90037642763208E-02 
438	 2.96972475106958E-02 
439	 0.029732036356608 
440	 2.81407845489496E-02 
441	 2.76879512250353E-02 
442	 2.88323280872403E-02 
443	 2.95309158842357E-02 
444	 2.98203316302028E-02 
445	 2.97839845674832E-02 
446	 2.92603006297596E-02 
447	 2.86813862056634E-02 
448	 2.89732829632354E-02 
449	 2.95824306186282E-02 
450	 3.01357088980451E-02 
451	 2.98692332897894E-02 
452	 2.94732282847999E-02 
453	 2.96529179848549E-02 
454	 0.02978427430627 
455	 2.96937427975546E-02 
456	 0.02909790470141 
457	 2.92262349201619E-02 
458	 3.04530576390702E-02 
459	 3.18007820060799E-02 
460	 3.21437314304659E-02 
461	 3.03564754597478E-02 
462	 2.92365830289287E-02 
463	 2.94334025783391E-02 
464	 3.07075245275137E-02 
465	 3.14343489543017E-02 
466	 3.08935059177371E-02 
467	 3.10923248649237E-02 
468	 3.13839801646916E-02 
469	 0.030490576764834 
470	 3.03516075312623E-02 
471	 0.031086418768297 
472	 3.11804729413456E-02 
473	 3.12950270482033E-02 
474	 3.16729461840176E-02 
475	 3.06395767255703E-02 
476	 2.93426383874557E-02 
477	 3.01682751850984E-02 
478	 3.06516427962163E-02 
479	 3.05596392898826E-02 
480	 3.22832753761624E-02 
481	 3.35467608310096E-02 
