Wavelength	A00065.asd
325	 6.54018148963339E-02 
326	 6.51583851908497E-02 
327	 5.39578953984127E-02 
328	 0.055606138420993 
329	 5.63400000583351E-02 
330	 5.31234752052174E-02 
331	 5.73175339136611E-02 
332	 6.26518619430344E-02 
333	 6.25958597758197E-02 
334	 6.57656845519257E-02 
335	 0.069613002600771 
336	 6.45849728453018E-02 
337	 6.28261880993792E-02 
338	 6.63196856467659E-02 
339	 6.61569491651372E-02 
340	 6.18839245376011E-02 
341	 5.46745705881449E-02 
342	 5.78206749016166E-02 
343	 0.065715173525644 
344	 6.48181791343724E-02 
345	 6.19914588036294E-02 
346	 5.96201850939474E-02 
347	 0.059610369195284 
348	 5.97492430901744E-02 
349	 5.88115375590751E-02 
350	 6.03343738551225E-02 
351	 6.18631320984288E-02 
352	 5.89279111256393E-02 
353	 5.68663678623316E-02 
354	 5.71768220936406E-02 
355	 6.01806012298683E-02 
356	 0.061039964929092 
357	 5.78296445026332E-02 
358	 5.97427687429751E-02 
359	 6.37259265963967E-02 
360	 6.36980613834028E-02 
361	 0.062206067296168 
362	 6.07641744849599E-02 
363	 6.25549007418583E-02 
364	 6.24387148098662E-02 
365	 5.87757408991919E-02 
366	 5.97730533922534E-02 
367	 6.26846365189677E-02 
368	 6.28019093606015E-02 
369	 6.24879989306973E-02 
370	 6.24285188625455E-02 
371	 6.31418263842169E-02 
372	 6.39898619062739E-02 
373	 6.46062347417035E-02 
374	 6.54181577897581E-02 
375	 0.065421584159779 
376	 0.063307173534426 
377	 6.20208910384201E-02 
378	 6.20048336969906E-02 
379	 6.19991140120967E-02 
380	 6.23006500795061E-02 
381	 6.31138691156054E-02 
382	 6.50951618298495E-02 
383	 6.70376269526014E-02 
384	 6.73161843220682E-02 
385	 6.66461656102269E-02 
386	 6.53184610047319E-02 
387	 6.35425050831808E-02 
388	 6.18636794123147E-02 
389	 6.08611426568104E-02 
390	 6.18217088691923E-02 
391	 6.41514523129612E-02 
392	 6.69859779849307E-02 
393	 6.67827317033855E-02 
394	 6.39406144306913E-02 
395	 6.17735117607471E-02 
396	 6.08081199785956E-02 
397	 6.09073961600796E-02 
398	 5.98302256760747E-02 
399	 5.83627903472658E-02 
400	 5.74568510579956E-02 
401	 5.78062301975337E-02 
402	 5.91004010436946E-02 
403	 6.04509717967981E-02 
404	 6.15571162520198E-02 
405	 6.22296766589097E-02 
406	 6.24188803515759E-02 
407	 0.062382037930607 
408	 6.24277846456176E-02 
409	 0.06181535384651 
410	 6.08563421856983E-02 
