Wavelength	AVEI200235.asd
325	 6.55153179091111E-02 
326	 6.26635218418067E-02 
327	 6.09973339072008E-02 
328	 6.10636512826023E-02 
329	 6.29562743276237E-02 
330	 6.52369860272166E-02 
331	 6.05471907100741E-02 
332	 5.60139574050505E-02 
333	 5.84733223907595E-02 
334	 6.23120510101301E-02 
335	 6.52628226176294E-02 
336	 6.46352952462719E-02 
337	 6.47013865316386E-02 
338	 6.59684331275284E-02 
339	 6.45722183649973E-02 
340	 6.09849531014469E-02 
341	 5.64269680618046E-02 
342	 5.85311012637453E-02 
343	 6.34017712309605E-02 
344	 0.061559054447918 
345	 6.17186365913334E-02 
346	 6.50824005867267E-02 
347	 6.79632165661747E-02 
348	 6.66486186606979E-02 
349	 6.00758079700157E-02 
350	 5.98773554636031E-02 
351	 6.34591774609054E-02 
352	 6.43321240626384E-02 
353	 0.065048927781332 
354	 0.065762847668231 
355	 6.51814923385512E-02 
356	 6.46265067853355E-02 
357	 6.48123753614893E-02 
358	 6.45448106671046E-02 
359	 6.39657358184158E-02 
360	 6.34921072962484E-02 
361	 0.062866036744567 
362	 6.27183465576296E-02 
363	 6.53228350823571E-02 
364	 6.74096326336541E-02 
365	 6.72697100610781E-02 
366	 6.63358710869121E-02 
367	 6.50929064534952E-02 
368	 0.063923192670697 
369	 6.38257728367176E-02 
370	 6.45247608010364E-02 
371	 6.42417945150581E-02 
372	 6.42597332687134E-02 
373	 6.50599526165762E-02 
374	 6.50105505383672E-02 
375	 6.46007655390358E-02 
376	 6.47273067152922E-02 
377	 6.48765478866244E-02 
378	 6.50431897378513E-02 
379	 6.57739842497994E-02 
380	 6.53132039914612E-02 
381	 6.34648736222687E-02 
382	 6.49056968620528E-02 
383	 0.067319322078631 
384	 6.71845738264493E-02 
385	 6.59234532676214E-02 
386	 6.45521546265316E-02 
387	 6.50534988813251E-02 
388	 6.57219002159589E-02 
389	 6.57345824297879E-02 
390	 0.065374381752896 
391	 6.51511126441347E-02 
392	 6.55963403082692E-02 
393	 6.55256197450991E-02 
394	 6.53547851304683E-02 
395	 6.72182113939006E-02 
396	 0.067751073725634 
397	 6.60109502230758E-02 
398	 6.51871642136478E-02 
399	 6.52613113925605E-02 
400	 0.065823603693996 
401	 6.61755395023708E-02 
402	 6.63868759676174E-02 
403	 6.71314073886115E-02 
404	 6.74781499910072E-02 
405	 6.72245150593319E-02 
406	 6.76659413304392E-02 
407	 6.80236022777386E-02 
408	 0.067237316641377 
409	 6.72272936261237E-02 
410	 6.79802263223049E-02 
411	 0.068215691506493 
412	 6.81551716763008E-02 
413	 0.067960882967967 
414	 6.80158064040287E-02 
415	 6.82041584251874E-02 
416	 6.83205070692843E-02 
417	 6.84670980069197E-02 
418	 6.86090811473414E-02 
419	 6.85155740618086E-02 
420	 6.87556927606155E-02 
421	 6.94991818124753E-02 
422	 6.96072395010097E-02 
423	 6.94941703088883E-02 
424	 6.99485985343972E-02 
425	 7.02241427049721E-02 
426	 7.02663457574655E-02 
427	 7.05264301345956E-02 
428	 7.09764098459389E-02 
429	 7.15235438817794E-02 
430	 7.17111416203635E-02 
431	 0.071505452399993 
432	 7.09442924600708E-02 
433	 7.08116554892734E-02 
434	 7.11884569687866E-02 
435	 7.14308780200918E-02 
436	 7.17180887888014E-02 
437	 7.21477904897783E-02 
438	 7.24328790343906E-02 
439	 0.07261338545934 
440	 7.28198685462587E-02 
441	 7.32168530448754E-02 
442	 7.37536064638639E-02 
443	 7.40068286211155E-02 
444	 7.41203726471235E-02 
445	 0.074220928388077 
446	 7.41455113726666E-02 
447	 7.41000522216167E-02 
448	 7.45990636663753E-02 
449	 7.49870665284275E-02 
450	 7.50687316503774E-02 
451	 7.50834945562437E-02 
452	 7.52431504053017E-02 
453	 7.57184356682372E-02 
454	 7.59785096993282E-02 
455	 7.60755762593718E-02 
456	 7.65147659156676E-02 
457	 7.66377205190421E-02 
458	 7.63693614642745E-02 
459	 7.69203076130509E-02 
460	 7.76947987630564E-02 
461	 7.78795443525013E-02 
462	 7.78770558102628E-02 
463	 7.78089112023252E-02 
464	 7.77518447902788E-02 
465	 7.77834512012071E-02 
466	 7.79624299406109E-02 
467	 7.83613560313621E-02 
468	 7.86721013739581E-02 
469	 7.84484124642742E-02 
470	 7.84333167613191E-02 
471	 7.87365542914243E-02 
472	 7.89721796517823E-02 
473	 7.92066611212104E-02 
474	 7.94787538364687E-02 
475	 7.98293013045664E-02 
476	 8.00707680591459E-02 
477	 7.98562254819421E-02 
478	 7.98575045869149E-02 
479	 8.01915998065772E-02 
480	 8.04137194603471E-02 
481	 8.05951477722141E-02 
482	 8.08001253272118E-02 
483	 8.09758082942991E-02 
484	 8.11484108150734E-02 
485	 8.14579800270741E-02 
486	 8.13257455283227E-02 
487	 8.07487054171815E-02 
488	 8.09152272901481E-02 
489	 0.0812146449424 
490	 8.09885681537458E-02 
491	 8.13656162833852E-02 
492	 8.21509392580974E-02 
493	 8.23059567019926E-02 
494	 8.21560171794723E-02 
495	 8.19302469895639E-02 
496	 8.21683737791395E-02 
497	 8.26021531508243E-02 
498	 0.082814624733908 
499	 8.30713160101594E-02 
500	 8.34401938798231E-02 
501	 8.40101966118518E-02 
502	 8.43097042446884E-02 
503	 0.084098996245474 
504	 8.39087910904383E-02 
505	 0.083932376343122 
506	 8.43457599585781E-02 
507	 8.48351431638042E-02 
508	 8.51728999081564E-02 
509	 8.48837957611385E-02 
510	 0.084705248185594 
511	 8.51993433598572E-02 
512	 8.56572501541119E-02 
513	 8.60033520812974E-02 
514	 8.64012269598394E-02 
515	 8.65364063467007E-02 
516	 8.64286594113029E-02 
517	 0.086838600289505 
518	 8.73206962292189E-02 
519	 8.73413754619109E-02 
520	 8.72079032651809E-02 
521	 8.71182924446474E-02 
522	 8.73579879587848E-02 
523	 8.78702541320015E-02 
524	 8.85145997727493E-02 
525	 8.85784332325531E-02 
526	 8.84298460587028E-02 
527	 0.088694672290268 
528	 8.88875299955358E-02 
529	 0.089019851142639 
530	 8.95960473773623E-02 
531	 9.00106480251715E-02 
532	 8.99112752488236E-02 
533	 0.089987968151642 
534	 0.090264423796346 
535	 9.05922061386961E-02 
536	 9.08004030476376E-02 
537	 9.08417674599833E-02 
538	 9.07994941365651E-02 
539	 9.09105569112489E-02 
540	 9.13640706659046E-02 
541	 9.14584011767303E-02 
542	 9.13729583946006E-02 
543	 9.20099934734345E-02 
544	 9.25008997384514E-02 
545	 9.25228005952151E-02 
546	 0.092540115264127 
547	 9.25603731978218E-02 
548	 9.25332749747763E-02 
549	 9.28837924760652E-02 
550	 0.093455731652856 
551	 9.33351783068867E-02 
552	 9.32889590122875E-02 
553	 9.37615351934685E-02 
554	 9.41687322107573E-02 
555	 9.43319805797408E-02 
556	 9.40454029420713E-02 
557	 0.094076930370745 
558	 9.45656349385497E-02 
559	 9.48467477447651E-02 
560	 9.49684604876357E-02 
561	 9.50061835456333E-02 
562	 9.49839577924331E-02 
563	 9.49892122104428E-02 
564	 9.52035250628186E-02 
565	 9.54725795626233E-02 
566	 9.56977926049576E-02 
567	 9.57261307730171E-02 
568	 9.57180121046092E-02 
569	 9.58949508665267E-02 
570	 9.61242694555521E-02 
571	 9.63281547059198E-02 
572	 9.63772403243961E-02 
573	 9.63685333287641E-02 
574	 9.63892443767668E-02 
575	 9.65713351249941E-02 
576	 9.69195626401371E-02 
577	 9.74722145436128E-02 
578	 9.71318900062259E-02 
579	 9.60775333519808E-02 
580	 9.67455557618367E-02 
581	 9.75181078412986E-02 
582	 9.69838670002057E-02 
583	 9.70072699646159E-02 
584	 9.74944342669096E-02 
585	 9.73129240598034E-02 
586	 9.72127822307617E-02 
587	 9.74470945581907E-02 
588	 9.76595157796377E-02 
589	 9.78749337888614E-02 
590	 9.81547084117398E-02 
591	 9.79371032420832E-02 
592	 9.74144881718385E-02 
593	 9.75752898820793E-02 
594	 9.80108975889756E-02 
595	 0.098429362406067 
596	 9.85273332592851E-02 
597	 9.84498522676602E-02 
598	 9.85329693115842E-02 
599	 9.86714770843405E-02 
600	 9.87739889689791E-02 
601	 0.0985579006201 
602	 9.83092720743931E-02 
603	 9.82923717152113E-02 
604	 9.84063344229499E-02 
605	 9.85738569059811E-02 
606	 9.86724252189633E-02 
607	 0.098663893274322 
608	 9.85712746051256E-02 
609	 9.86792327799492E-02 
610	 9.88032898383607E-02 
611	 9.86831642880779E-02 
612	 9.86771425204824E-02 
613	 9.87626194418421E-02 
614	 9.85530521128452E-02 
615	 9.83514258676227E-02 
616	 9.83627109781531E-02 
617	 0.098657789895653 
618	 0.098880522934406 
619	 9.83815370704718E-02 
620	 9.82455497318707E-02 
621	 9.86436095299206E-02 
622	 9.87430857023009E-02 
623	 9.88366582894185E-02 
624	 9.91714153958863E-02 
625	 0.099088844989399 
626	 9.88029178570117E-02 
627	 9.92317011807238E-02 
628	 9.94207761790188E-02 
629	 9.90861546770179E-02 
630	 9.89903374530816E-02 
631	 9.90249986609311E-02 
632	 9.89736709653742E-02 
633	 9.92156023340637E-02 
634	 0.099618659577981 
635	 9.95268867988556E-02 
636	 9.92086274874364E-02 
637	 9.88969299122901E-02 
638	 9.90266073946414E-02 
639	 9.94647082633134E-02 
640	 9.98779857603795E-02 
641	 0.100174316360354 
642	 0.100264292276598 
643	 0.100003358967193 
644	 9.98465236150928E-02 
645	 0.100169033678712 
646	 0.100352974579938 
647	 0.100391562550051 
648	 0.100641276595895 
649	 0.100632848795145 
650	 0.100270259276148 
651	 0.100109568148037 
652	 0.100148511551299 
653	 0.100317462831889 
654	 0.100137275693611 
655	 9.96809896739963E-02 
656	 9.97585960773676E-02 
657	 9.96451944132156E-02 
658	 9.89975014763421E-02 
659	 9.85164406986367E-02 
660	 9.83043593384002E-02 
661	 9.84078626786253E-02 
662	 9.83628151769745E-02 
663	 9.80612910578066E-02 
664	 9.77588575743193E-02 
665	 9.73908315410523E-02 
666	 9.69389767676171E-02 
667	 9.69278168671009E-02 
668	 9.71306095600142E-02 
669	 9.67565309643134E-02 
670	 9.64774898460826E-02 
671	 9.64613329124284E-02 
672	 9.61862375526616E-02 
673	 9.59595765261785E-02 
674	 0.096160877098935 
675	 9.63368030019736E-02 
676	 9.63928590769444E-02 
677	 9.63524830409793E-02 
678	 9.64907128483873E-02 
679	 9.69156307790894E-02 
680	 9.71981802770629E-02 
681	 9.74070773243557E-02 
682	 9.77398149752174E-02 
683	 9.80674611600896E-02 
684	 0.098419928679622 
685	 9.91227338862042E-02 
686	 9.96770112339237E-02 
687	 9.96764869217674E-02 
688	 0.100275307585223 
689	 0.101224592734856 
690	 0.101604792962221 
691	 0.101965642353614 
692	 0.10244929689105 
693	 0.102846017162359 
694	 0.103231315093466 
695	 0.103662456838737 
696	 0.103796604869337 
697	 0.10380662979974 
698	 0.104353512727639 
699	 0.104836226424845 
700	 0.104968190098419 
701	 0.104965723872571 
702	 0.105039096053602 
703	 0.105434640304791 
704	 0.105717016605385 
705	 0.105871662175653 
706	 0.106281395757287 
707	 0.106520460981071 
708	 0.106368982933446 
709	 0.106466541176289 
710	 0.106704797392004 
711	 0.106729827312252 
712	 0.106482516792606 
713	 0.106213442091051 
714	 0.107127099472403 
715	 0.108122024783391 
716	 0.10816503680824 
717	 0.108011044234993 
718	 0.107870795033894 
719	 0.107942433490478 
720	 0.108025493046225 
721	 0.108033371884035 
722	 0.107931859821766 
723	 0.107988887094913 
724	 0.108519863249785 
725	 0.108977154984862 
726	 0.109216118303807 
727	 0.109414343168119 
728	 0.109446540107944 
729	 0.109299084824636 
730	 0.109272286404467 
731	 0.109342480502307 
732	 0.109425578069401 
733	 0.109327032129708 
734	 0.109117667918246 
735	 0.109137021507427 
736	 0.109425509763693 
737	 0.109907738267165 
738	 0.109694115040796 
739	 0.109212346348623 
740	 0.109515677677204 
741	 0.109412447554053 
742	 0.108938313265281 
743	 0.109830003922558 
744	 0.110754367653362 
745	 0.110577312190242 
746	 0.110166132350281 
747	 0.109766681337096 
748	 0.109517081395389 
749	 0.109615897370938 
750	 0.110047303348739 
751	 0.11026947986361 
752	 0.110350650192732 
753	 0.110417352449055 
754	 0.110612003524283 
755	 0.110865869996917 
756	 0.110926946127744 
757	 0.11070995518975 
758	 0.110297134099625 
759	 0.111072073238917 
760	 0.112757201111844 
761	 0.112126872431886 
762	 0.111851015906182 
763	 0.112362322596445 
764	 0.112238461813189 
765	 0.112426656630401 
766	 0.11299706099822 
767	 0.112714162595807 
768	 0.112287582514638 
769	 0.112612354573744 
770	 0.112425833131326 
771	 0.111819686038555 
772	 0.112242527967297 
773	 0.112727676250343 
774	 0.112656815645406 
775	 0.112663339064335 
776	 0.112820078694218 
777	 0.113124183480912 
778	 0.113137749818632 
779	 0.112826347247629 
780	 0.112602197243469 
781	 0.112761858946704 
782	 0.113456130545916 
783	 0.113798056511259 
784	 0.113800463491508 
785	 0.113854937179438 
786	 0.113800992193041 
787	 0.113602821388289 
788	 0.113186152410759 
789	 0.113123870485722 
790	 0.113891117933284 
791	 0.114491325436093 
792	 0.114686932346966 
793	 0.114359225466035 
794	 0.114437222183088 
795	 0.115036576819669 
796	 0.114750817085869 
797	 0.114311776965253 
798	 0.114507596701725 
799	 0.114623968244155 
800	 0.114631329659767 
801	 0.114835511109206 
802	 0.11495344068945 
803	 0.114910714938254 
804	 0.114936145984644 
805	 0.115056279843524 
806	 0.115273617364089 
807	 0.115452938434588 
808	 0.115580402923784 
809	 0.115802324574605 
810	 0.115477823950324 
811	 0.114587738577477 
812	 0.114914035697758 
813	 0.115861021861763 
814	 0.116391347204551 
815	 0.116267323908921 
816	 0.115863354064153 
817	 0.116749967668495 
818	 0.117285892204385 
819	 0.116879559649399 
820	 0.116492260157851 
821	 0.116337936173052 
822	 0.116584623222145 
823	 0.11722294834922 
824	 0.117818911507425 
825	 0.117347377222262 
826	 0.116689144366268 
827	 0.116303633684498 
828	 0.116569179345101 
829	 0.117002653340612 
830	 0.116965862385837 
831	 0.116839118832822 
832	 0.116761080605042 
833	 0.116921156246999 
834	 0.116903648276862 
835	 0.116596086034064 
836	 0.116350704539795 
837	 0.116635107928209 
838	 0.117850954388512 
839	 0.117629760995892 
840	 0.116292004359068 
841	 0.116211830761421 
842	 0.116483290425601 
843	 0.116641746901707 
844	 0.116088336990167 
845	 0.115596045102743 
846	 0.116061138372703 
847	 0.116680378283446 
