Wavelength	SHSI00079.asd
325	 8.88244965609936E-02 
326	 9.20281052482552E-02 
327	 9.67034906812198E-02 
328	 9.97870676946145E-02 
329	 9.92521675937027E-02 
330	 9.50677535802514E-02 
331	 8.95856237980787E-02 
332	 8.79739753483491E-02 
333	 0.094105020486841 
334	 9.35236520318909E-02 
335	 0.088871790136939 
336	 9.26274012089949E-02 
337	 9.50485060817467E-02 
338	 9.34408335189914E-02 
339	 8.90830231628165E-02 
340	 0.087330942449361 
341	 9.17706608103731E-02 
342	 9.26832715091231E-02 
343	 9.13271023079442E-02 
344	 9.30771186415785E-02 
345	 9.37741183867998E-02 
346	 9.30309910348777E-02 
347	 9.37724038223312E-02 
348	 9.38675003228978E-02 
349	 9.21632082029427E-02 
350	 9.13943117443906E-02 
351	 9.24707011397048E-02 
352	 9.63400998473753E-02 
353	 9.82907865518832E-02 
354	 9.80553100188384E-02 
355	 0.099761486297736 
356	 0.100435847982835 
357	 9.86882246047333E-02 
358	 0.098414425025672 
359	 9.92682301489346E-02 
360	 9.99770879985245E-02 
361	 0.100724240313409 
362	 0.100921053679768 
363	 9.85038559556337E-02 
364	 0.097286864973223 
365	 0.098916314064058 
366	 9.99897597666658E-02 
367	 9.98256772764186E-02 
368	 9.80241997923625E-02 
369	 9.92643039982933E-02 
370	 0.10255243207896 
371	 0.100734701578731 
372	 9.93054133997318E-02 
373	 0.100696838753848 
374	 0.099749982966033 
375	 9.79430030586239E-02 
376	 9.79828195466437E-02 
377	 9.72489730881945E-02 
378	 9.59207914250964E-02 
379	 9.65221680544171E-02 
380	 9.72349693910725E-02 
381	 9.70149090992563E-02 
382	 9.55422423531031E-02 
383	 9.43088515040519E-02 
384	 9.52315589388571E-02 
385	 9.44532130992067E-02 
386	 9.23290382049034E-02 
387	 9.28373576882964E-02 
388	 0.093557516103702 
389	 0.093379297292675 
390	 9.27013411539076E-02 
391	 9.22381721606074E-02 
392	 9.27326882802987E-02 
393	 9.27796710176105E-02 
394	 9.20373453824273E-02 
395	 9.03517117200418E-02 
396	 8.96001587934591E-02 
397	 0.090076293302037 
398	 8.87362733467753E-02 
399	 0.086774554786003 
400	 8.56151692445582E-02 
401	 8.57557806834783E-02 
402	 8.69220739130383E-02 
403	 8.85930673839214E-02 
404	 8.91117415311766E-02 
405	 8.80450614002996E-02 
406	 8.76062735447726E-02 
407	 8.72067410941948E-02 
408	 8.58925153765124E-02 
409	 8.49616480908398E-02 
410	 8.46780523577188E-02 
411	 8.49277574733141E-02 
412	 8.49735581766317E-02 
413	 8.46010800977811E-02 
414	 8.50431655931598E-02 
415	 8.55032998146114E-02 
416	 0.084839744479761 
417	 0.084353353316366 
418	 8.42898859746159E-02 
419	 8.44241121522757E-02 
420	 8.44086005098194E-02 
421	 8.41049489733099E-02 
422	 8.40562844875141E-02 
423	 8.40791375667346E-02 
424	 8.38019551560994E-02 
425	 8.41005014407393E-02 
426	 8.47870389872916E-02 
427	 8.44200875543285E-02 
428	 8.37915722382871E-02 
429	 8.34787694367826E-02 
430	 8.37135407438332E-02 
431	 8.37673702855904E-02 
432	 8.23806843842599E-02 
433	 8.15383892343381E-02 
434	 8.16358565524843E-02 
435	 8.18721146579943E-02 
436	 8.22683727961562E-02 
437	 0.082789105284293 
438	 8.30646961216414E-02 
439	 8.30209553837405E-02 
440	 8.25981295001898E-02 
441	 8.24644610106751E-02 
442	 8.26592768860872E-02 
443	 8.22601094828619E-02 
444	 8.21307824150063E-02 
445	 8.29102234317429E-02 
446	 8.34308243168982E-02 
447	 8.36083019028284E-02 
448	 0.083704589276968 
449	 0.0838657863856 
450	 8.41437863371982E-02 
451	 8.44217204195527E-02 
452	 8.46670578781782E-02 
453	 8.48623049444961E-02 
454	 8.51396818996961E-02 
455	 8.54596698388881E-02 
456	 8.56211520928383E-02 
457	 8.58995361754643E-02 
458	 8.62893668526824E-02 
459	 8.60816050570685E-02 
460	 8.57816874841132E-02 
461	 8.60404695732238E-02 
462	 8.63741137486485E-02 
463	 8.66176331261567E-02 
464	 8.65781596234723E-02 
465	 8.67867405420124E-02 
466	 8.74176637933025E-02 
467	 8.75466027193231E-02 
468	 8.75529652153766E-02 
469	 0.08814397627589 
470	 8.82574108124333E-02 
471	 8.79069362018098E-02 
472	 8.81063446198311E-02 
473	 8.85119139013163E-02 
474	 8.89011258946938E-02 
475	 8.94053636925634E-02 
476	 8.97820957017408E-02 
477	 8.95953613017993E-02 
478	 8.95252835564491E-02 
479	 8.96648472017049E-02 
480	 8.94281603849609E-02 
481	 8.92703969317168E-02 
482	 0.089571209107646 
483	 9.01797562392784E-02 
484	 9.08083215432986E-02 
485	 0.090870838296668 
486	 9.08369763247916E-02 
487	 9.08019517029397E-02 
488	 9.03310608572837E-02 
489	 8.98365976879199E-02 
490	 8.97502846496515E-02 
491	 8.98427254409324E-02 
492	 9.01154879179261E-02 
493	 9.07553200184203E-02 
494	 9.11890682902044E-02 
495	 9.12413041384021E-02 
496	 9.15844647986806E-02 
497	 0.092101701151631 
498	 9.25612202949211E-02 
499	 9.30971595715634E-02 
500	 9.36685348708804E-02 
501	 9.40922987506227E-02 
502	 9.43494703497514E-02 
503	 9.44900480155716E-02 
504	 9.49122435514479E-02 
505	 9.56575678909039E-02 
506	 0.096715504194317 
507	 9.75795786043396E-02 
508	 9.81642308887312E-02 
509	 9.88318575632909E-02 
510	 9.95094306133726E-02 
511	 0.100155953627529 
512	 0.10105916172318 
513	 0.102120681647308 
514	 0.102993302219673 
515	 0.103963298470518 
516	 0.105043375574903 
517	 0.105829229592969 
518	 0.106328657949662 
519	 0.106608266312283 
520	 0.107035510410649 
521	 0.107721974187692 
522	 0.108723790016826 
523	 0.109750051851215 
524	 0.110647293402783 
525	 0.111394759358019 
526	 0.112176975648099 
527	 0.113251722586278 
528	 0.114085939014612 
529	 0.11465502269856 
530	 0.115383948485485 
531	 0.116255378535105 
532	 0.11724198949745 
533	 0.11812893333255 
534	 0.118977712431653 
535	 0.119995887778818 
536	 0.120865040366091 
537	 0.121573599735375 
538	 0.122561754009804 
539	 0.123550243189263 
540	 0.12424793031914 
541	 0.124731508338969 
542	 0.125204531510529 
543	 0.126149679828059 
544	 0.127113453185183 
545	 0.127936162352204 
546	 0.128915622559623 
547	 0.129876983688803 
548	 0.1305649544273 
549	 0.131064625231434 
550	 0.131564992568138 
551	 0.132603044716407 
552	 0.133648245680904 
553	 0.134360211360191 
554	 0.134948684207764 
555	 0.135541201038709 
556	 0.136324438034978 
557	 0.137067883341539 
558	 0.137664435079783 
559	 0.138005632039904 
560	 0.138363119895105 
561	 0.138971967382658 
562	 0.139459353004943 
563	 0.139808830597967 
564	 0.140187478537469 
565	 0.140420766511496 
566	 0.140491233267081 
567	 0.140695370374024 
568	 0.141058907530821 
569	 0.141571921246637 
570	 0.141703715881711 
571	 0.141485823806652 
572	 0.141522601306648 
573	 0.141593700758941 
574	 0.141588886907865 
575	 0.141691894852312 
576	 0.141887446709005 
577	 0.142128840320892 
578	 0.142066834559742 
579	 0.141760224022077 
580	 0.141978977275262 
581	 0.142322061122094 
582	 0.142420281019607 
583	 0.142545409197832 
584	 0.142726388907302 
585	 0.142959803888646 
586	 0.143002024046907 
587	 0.142807092006023 
588	 0.142818999056793 
589	 0.142834771558337 
590	 0.142543256969615 
591	 0.142561885460774 
592	 0.142890680591751 
593	 0.142982308418114 
594	 0.143287847362346 
595	 0.143945596104803 
596	 0.14386807180464 
597	 0.143463488478985 
598	 0.143688183534118 
599	 0.144030081809313 
600	 0.144226949287804 
601	 0.143825740837753 
602	 0.143368791373792 
603	 0.143337982866839 
604	 0.143347066206638 
605	 0.143232230937042 
606	 0.1427530523008 
607	 0.142282318521152 
608	 0.141953700968051 
609	 0.141587811436905 
610	 0.141034966629368 
611	 0.140137554140619 
612	 0.139590253955234 
613	 0.13943308359212 
614	 0.139207333089593 
615	 0.138759667630277 
616	 0.138020526296667 
617	 0.137315083887344 
618	 0.13676682447118 
619	 0.136461908439907 
620	 0.136414431895844 
621	 0.136480099020347 
622	 0.136112479572384 
623	 0.135581129984686 
624	 0.135191301430784 
625	 0.13541228560163 
626	 0.135949197294271 
627	 0.135852839458229 
628	 0.135555705851354 
629	 0.135241757480865 
630	 0.134970274091184 
631	 0.134881878146055 
632	 0.135122628327579 
633	 0.135209250337373 
634	 0.135182391899676 
635	 0.135676981860308 
636	 0.13585930862483 
637	 0.135336890196037 
638	 0.135215766808368 
639	 0.135428113458971 
640	 0.135602250567485 
641	 0.135487954595888 
642	 0.135189450874888 
643	 0.13559817946429 
644	 0.136019697508322 
645	 0.135847788637412 
646	 0.135821685293953 
647	 0.135846477762145 
648	 0.135359058308476 
649	 0.134581859588378 
650	 0.133709394282435 
651	 0.133217157712111 
652	 0.132865510753579 
653	 0.13230817658738 
654	 0.13142760607319 
655	 0.130225735152477 
656	 0.129156230790112 
657	 0.127575020618255 
658	 0.125328646466577 
659	 0.12355032298252 
660	 0.1219947590734 
661	 0.120105349345698 
662	 0.117999584150253 
663	 0.115791928759687 
664	 0.11378251522589 
665	 0.112046188287841 
666	 0.110623581189553 
667	 0.109359353358634 
668	 0.10814424951522 
669	 0.106761817272936 
670	 0.105655647251267 
671	 0.104986112624551 
672	 0.104603550583753 
673	 0.104307522751666 
674	 0.103891576570263 
675	 0.103814793630757 
676	 0.10403563640894 
677	 0.104054717676439 
678	 0.104366269852946 
679	 0.105213933454826 
680	 0.106266678787729 
681	 0.107465355962589 
682	 0.108778926258739 
683	 0.110404691941938 
684	 0.112421132976944 
685	 0.114999538231453 
686	 0.117879048185316 
687	 0.120822232404721 
688	 0.12439970242028 
689	 0.128321501051951 
690	 0.132540197518551 
691	 0.136560208614555 
692	 0.140454357160641 
693	 0.144976468523065 
694	 0.149747358984161 
