Wavelength	AVEI200301.asd
325	 6.06233197022527E-02 
326	 5.23198374175809E-02 
327	 3.56997904511605E-02 
328	 4.75968105751003E-02 
329	 5.72920267613525E-02 
330	 5.46460111758931E-02 
331	 4.38813526023127E-02 
332	 3.74202676453818E-02 
333	 4.53470886453958E-02 
334	 4.60323222381721E-02 
335	 4.00808256338068E-02 
336	 3.70834135219151E-02 
337	 3.77212918929179E-02 
338	 4.13317762316475E-02 
339	 4.39962657557715E-02 
340	 4.16644222858505E-02 
341	 3.25146998629479E-02 
342	 3.04676460157458E-02 
343	 3.51133761360464E-02 
344	 4.26779355819615E-02 
345	 4.01493072422353E-02 
346	 0.029073040330136 
347	 3.04233328156417E-02 
348	 3.49043903558968E-02 
349	 3.60977331350878E-02 
350	 3.92912125018232E-02 
351	 4.11996850042339E-02 
352	 3.55743820276341E-02 
353	 3.38679841114849E-02 
354	 3.67468917658901E-02 
355	 3.51604740982652E-02 
356	 3.48196499281903E-02 
357	 3.79603309990797E-02 
358	 3.24300904061972E-02 
359	 2.63255860965429E-02 
360	 3.34712055607101E-02 
361	 3.82778183199032E-02 
362	 3.78437627575928E-02 
363	 3.63899247557481E-02 
364	 3.52766221290508E-02 
365	 3.52223406965516E-02 
366	 3.51414253236499E-02 
367	 0.033979562898858 
368	 3.04916516605923E-02 
369	 3.11226054365315E-02 
370	 3.48326573360876E-02 
371	 3.28261723571155E-02 
372	 3.11024110686271E-02 
373	 3.26888777797841E-02 
374	 3.54324455097753E-02 
375	 3.68606387330969E-02 
376	 3.41627548373654E-02 
377	 3.10077267439971E-02 
378	 2.92600802831546E-02 
379	 3.14710755244465E-02 
380	 3.33879967926795E-02 
381	 3.27794807657942E-02 
382	 3.09517471480548E-02 
383	 3.02159267438225E-02 
384	 3.33028333747816E-02 
385	 3.26511431346371E-02 
386	 2.88020130021483E-02 
387	 2.96610923162236E-02 
388	 3.01389247755828E-02 
389	 2.84927593751728E-02 
390	 2.92480086590981E-02 
391	 2.99829515072564E-02 
392	 2.76057490903985E-02 
393	 2.81906654186987E-02 
394	 3.10937889031467E-02 
395	 3.07804685790717E-02 
396	 3.03081895892957E-02 
397	 0.030487584211221 
398	 2.79852336157231E-02 
