Wavelength	A00093.asd
325	-9.97092576109695E-03 
326	-7.09269373093581E-03 
327	-1.08492188632998E-02 
328	-6.38188600307647E-03 
329	-2.29504706180891E-03 
330	-1.92037206288216E-03 
331	-4.95380105498648E-03 
332	-7.71797760247884E-03 
333	-6.80267464518199E-03 
334	-5.9338635606823E-03 
335	-0.004373304107828 
336	 1.60194282550242E-03 
337	 5.88692116645123E-03 
338	 6.28665545446927E-03 
339	 3.59964114072628E-03 
340	-8.98700080774338E-04 
341	-5.55334066261543E-03 
342	-3.52865966185716E-03 
343	 1.94071011125676E-03 
344	 3.70528283119602E-03 
345	 1.56489888335227E-03 
346	-2.71503864222405E-03 
347	-1.99692709766436E-03 
348	-6.31481754719515E-04 
349	-1.31944471797284E-03 
350	 4.03103997189091E-04 
351	 2.20250362520869E-03 
352	-3.44917406584746E-04 
353	-2.3166575296429E-03 
354	-2.22246482901353E-03 
355	 8.58056042872364E-04 
356	 7.62591219541098E-04 
357	-4.80216413701026E-03 
358	-2.81751706240273E-03 
359	 1.54567400983746E-03 
360	-1.66063908690865E-03 
361	-3.71695931650183E-03 
362	-2.58458264822517E-03 
363	 0.001498676833068 
364	 2.95669774441498E-03 
365	-2.81583062929776E-04 
366	-7.97454656607844E-04 
367	-3.27974583008772E-04 
368	-0.00225305715111 
369	-2.39295243324843E-03 
370	-8.96681987584413E-04 
371	-1.60868981126353E-03 
372	-1.82482492628326E-03 
373	-4.4337198098199E-04 
374	-7.38970109593087E-04 
375	-9.0806552784966E-04 
376	 1.86115166998807E-03 
377	 8.37864595584929E-04 
378	-3.16803021026376E-03 
379	-2.30454473022122E-03 
380	-8.61981215645925E-04 
381	-9.15687525168702E-04 
382	-1.10606014796984E-03 
383	-1.09565037934979E-03 
384	-5.92431175032339E-04 
385	 1.84338823861409E-04 
386	 7.13266411131914E-04 
387	-3.56931198903068E-04 
388	-5.96506941454278E-04 
389	 5.31637495598186E-04 
390	-9.90717770742261E-04 
391	-2.27571922774267E-03 
392	 2.52134037333013E-04 
393	 5.35730371171069E-04 
394	-1.22390454163746E-03 
395	-6.40597798579478E-04 
396	 1.51994558293834E-04 
397	 1.3403387047066E-04 
398	-1.13235192331623E-03 
399	-2.18005711901433E-03 
400	-1.64054426625032E-03 
401	-1.27955526812756E-03 
402	-1.14167872911529E-03 
403	-3.10131576952494E-04 
404	-1.32344467019439E-04 
405	-9.33134683733913E-04 
406	-1.13650821875564E-03 
407	-5.1868391141416E-04 
408	 9.58055144228795E-04 
409	 7.81302972788077E-04 
410	-6.77061717894266E-04 
411	-7.51169230947773E-04 
412	-2.90102551848222E-04 
413	 1.79225527577724E-04 
414	-7.50771874010911E-06 
415	-5.28528312999051E-04 
416	-8.82786686489699E-04 
417	-8.72131303515418E-04 
418	-5.2367669424711E-04 
419	-3.31146307286929E-05 
420	 7.21136066149315E-05 
421	-3.85732054723937E-04 
422	-4.5184823313926E-04 
423	-2.18478399795501E-04 
424	 1.9752599481597E-05 
425	-5.32909669490603E-05 
426	-3.10329661466571E-04 
427	 1.1782182268257E-04 
428	 2.8090944769708E-04 
429	-3.17749746273353E-04 
430	-4.43563248619764E-04 
431	-5.77857137516915E-05 
432	 6.65104917991189E-04 
433	 2.95760764240232E-04 
434	-9.68103354060797E-04 
435	-1.05625651218442E-03 
436	-7.10651447497428E-04 
437	-4.60547846390148E-04 
438	-1.83637262961694E-04 
439	-4.56926567171022E-05 
440	-3.74474256707759E-04 
441	-4.25514804516053E-04 
442	-1.0906631175068E-04 
443	-9.27308228744685E-05 
444	-2.33374017897119E-04 
445	-3.57049278980476E-04 
446	 5.02176993734518E-05 
447	 4.77785547531816E-04 
448	-4.77653502332286E-04 
449	-9.19079760007846E-04 
450	-3.68947664919422E-04 
451	 3.19316203979574E-05 
452	 2.3767089781772E-04 
453	 2.61395954786965E-04 
454	-2.21423689174755E-05 
455	-3.3776042337051E-04 
456	 1.55806501924534E-04 
457	 2.88852330602926E-04 
458	-2.24217033112961E-04 
459	 6.62403417160145E-05 
460	 3.48498471111406E-04 
461	-4.30244044629857E-04 
462	-4.86807178366671E-04 
463	 7.24921307617762E-05 
464	-4.02421326614938E-04 
465	-8.36501031878819E-04 
466	-6.83237936518641E-04 
467	-2.46910678262051E-04 
468	 1.37919654492751E-04 
469	 4.78355925875165E-05 
470	-3.97814801176762E-05 
471	-6.30687349474323E-06 
472	 6.16994462334604E-05 
473	 2.14836160679106E-04 
474	 3.89533102807229E-04 
475	-2.34121149517599E-04 
476	-9.58780420762159E-04 
477	-3.59721131202414E-04 
478	-3.53762991804625E-04 
479	-1.08369301031632E-03 
480	-7.21130257665349E-04 
481	 1.79523766877116E-05 
482	 4.62520262169145E-04 
483	 1.78679738657174E-04 
484	-3.93945961336961E-04 
485	 4.4050991678424E-05 
486	 1.24589037656491E-04 
487	-3.61509308148302E-04 
488	 3.06452897282736E-04 
489	 7.86258573698948E-04 
490	-2.72585834483714E-04 
491	-9.0365950326499E-04 
492	-7.34090472031143E-04 
493	 2.46713772549639E-04 
494	 6.77235567576261E-04 
495	 5.92798128815367E-05 
496	-4.37863158694736E-04 
497	-5.06249530844849E-04 
498	 8.4549323956095E-05 
499	 1.76746954535359E-04 
500	-3.28196674059554E-04 
501	-7.01574870408696E-04 
502	-7.61521236858623E-04 
503	-4.45336941633478E-04 
504	-2.90137702539374E-04 
505	-2.27865271444393E-04 
506	 6.88272204803566E-07 
507	 4.67229982755914E-05 
508	-9.84606124275909E-05 
509	-3.98759799438537E-05 
510	-5.35812261201375E-05 
511	-3.35172122601444E-04 
512	-4.45692023104858E-04 
513	-3.70232194433306E-04 
514	-2.06196357781678E-04 
515	-2.95020534989413E-04 
516	-6.81764713774943E-04 
517	-8.49824336349203E-04 
518	-7.10298791405677E-04 
519	-2.54740924070775E-04 
520	-2.5708273758077E-04 
521	-5.81824474695617E-04 
522	-4.00336290241005E-04 
523	-2.47326575935358E-04 
524	-3.06871504953899E-04 
525	-1.02955071661027E-04 
526	 1.21822240954756E-04 
527	-3.54243713190339E-05 
528	-2.10395254831594E-04 
529	-3.25535841584686E-04 
530	-5.04019284403297E-04 
531	-5.95682330144949E-04 
532	-4.85062964011718E-04 
533	-3.67516649040472E-05 
534	 3.61377212618982E-04 
535	-8.22693626781323E-05 
536	-3.90564068534273E-04 
537	-2.85850683714522E-04 
538	-8.72234273569874E-05 
539	 4.5485242788558E-05 
540	-2.2657464639187E-05 
541	-1.14403735120616E-04 
542	-1.79761927313421E-04 
543	-2.12884568328874E-04 
544	-1.69546267190698E-04 
545	-3.94767311566066E-05 
546	 1.5470733206268E-04 
547	 2.15701832578244E-04 
548	-9.89769194908455E-05 
549	-3.8514707377704E-04 
550	-4.32526771221355E-04 
551	 8.87932120150343E-05 
552	 4.67362256855629E-04 
553	 2.55347708425292E-04 
554	-1.8373165596733E-04 
555	-5.2799151347874E-04 
556	-2.94979979461406E-04 
557	-4.49280519514709E-05 
558	 7.18130996728356E-06 
559	-1.88677196027079E-04 
560	-3.14217519170329E-04 
561	-1.0803050815301E-04 
562	-1.68269557502034E-04 
563	-4.34747151881667E-04 
564	-4.7768902141485E-04 
565	-3.76752479897253E-04 
566	-2.24480721371599E-04 
