Wavelength	AVEI200377.asd
325	 8.70845082415673E-02 
326	 7.68670371161341E-02 
327	 7.19704465227219E-02 
328	 6.81114603571804E-02 
329	 7.13208702713336E-02 
330	 8.01544515021718E-02 
331	 7.73118689503762E-02 
332	 7.20169766678963E-02 
333	 7.38469038624946E-02 
334	 7.63907138490182E-02 
335	 7.82202987766971E-02 
336	 7.89867073910529E-02 
337	 7.80864315268369E-02 
338	 7.57281270373458E-02 
339	 7.30516070621366E-02 
340	 7.17327775081695E-02 
341	 7.29006250674095E-02 
342	 0.073406775735244 
343	 7.47301628033371E-02 
344	 8.10201839734974E-02 
345	 0.083843200867207 
346	 8.15677795899595E-02 
347	 7.69532642150822E-02 
348	 7.40387973023305E-02 
349	 7.50956040476158E-02 
350	 7.50981398421874E-02 
351	 7.44624538445238E-02 
352	 7.48577460460436E-02 
353	 0.076166099716674 
354	 7.77219491973448E-02 
355	 7.73936923220088E-02 
356	 7.65722911190333E-02 
357	 7.61016512474865E-02 
358	 7.51714886264456E-02 
359	 7.48587580528621E-02 
360	 7.68595142829592E-02 
361	 7.69217507112371E-02 
362	 7.49866311406462E-02 
363	 0.074467305024563 
364	 7.46366175398841E-02 
365	 7.49185543622694E-02 
366	 7.42191897074853E-02 
367	 7.33289755752854E-02 
368	 7.34514594354539E-02 
369	 7.25000657798888E-02 
370	 7.09798670649704E-02 
371	 7.21508232342075E-02 
372	 7.31762329520499E-02 
373	 7.27538750963035E-02 
374	 7.34142007885688E-02 
375	 7.44674052782846E-02 
376	 7.46660911202022E-02 
377	 7.27194457664212E-02 
378	 6.98827662690638E-02 
379	 7.09836040917389E-02 
380	 7.25082488346636E-02 
381	 7.27701884154037E-02 
382	 0.073458650208075 
383	 7.36931018242173E-02 
384	 7.21984349293285E-02 
385	 7.25171543210023E-02 
386	 7.39059326439365E-02 
387	 7.13529057483129E-02 
388	 6.93484041262842E-02 
389	 6.95861434446259E-02 
390	 6.91012086287049E-02 
391	 6.87430087941086E-02 
392	 6.97422445628843E-02 
393	 7.11018059852111E-02 
394	 7.21103074759488E-02 
395	 7.14607509445504E-02 
396	 7.13883189546011E-02 
397	 7.23616957583367E-02 
398	 7.13531103064809E-02 
399	 6.99744169858628E-02 
400	 6.99590606448722E-02 
401	 6.95754399716708E-02 
402	 6.89873128430342E-02 
403	 6.94029461550731E-02 
404	 6.96191674867086E-02 
405	 6.93280316235735E-02 
406	 6.99599565260434E-02 
407	 7.06727958336023E-02 
408	 7.03188927291142E-02 
409	 0.069751291965929 
410	 6.93068548238785E-02 
411	 6.92938299101657E-02 
412	 0.069483086211481 
413	 6.96987394986633E-02 
414	 6.96211868371077E-02 
415	 6.95181040391822E-02 
416	 6.97678046861228E-02 
417	 6.98403428516875E-02 
418	 6.98018524323215E-02 
419	 7.03226511783848E-02 
420	 7.05027682739915E-02 
421	 6.99931665527578E-02 
422	 7.00272922517995E-02 
423	 7.03050176469178E-02 
424	 7.01876596194383E-02 
425	 7.01424096577845E-02 
426	 7.02922634206902E-02 
427	 7.06714010026643E-02 
428	 7.09797178010639E-02 
429	 7.09987019702324E-02 
430	 7.06934919013571E-02 
431	 7.03899297478759E-02 
432	 7.06168408621995E-02 
433	 7.07607327439106E-02 
434	 7.06796186233726E-02 
435	 7.04434788905344E-02 
436	 7.05539529826164E-02 
437	 7.12387997256364E-02 
438	 7.14117063157438E-02 
439	 7.12114335310026E-02 
440	 7.11768303056938E-02 
441	 7.12335167628794E-02 
442	 7.14134109629337E-02 
443	 7.18986660180163E-02 
444	 7.21588820711211E-02 
445	 7.18315089844279E-02 
446	 7.18001736510444E-02 
447	 7.20662452505803E-02 
448	 7.23046129893618E-02 
449	 7.24379906497279E-02 
450	 7.24303137572424E-02 
451	 7.23644590468299E-02 
452	 7.22416432682412E-02 
453	 7.20777921300558E-02 
454	 7.22034422271141E-02 
455	 7.26116909173021E-02 
456	 0.073150985342885 
457	 7.33881356679603E-02 
458	 7.32289917352563E-02 
459	 7.34090713285332E-02 
460	 7.36275466512027E-02 
461	 7.34681980671208E-02 
462	 7.34255531540139E-02 
463	 7.35497480827597E-02 
464	 7.36001821697509E-02 
465	 7.37976921422616E-02 
466	 7.41911051328908E-02 
467	 7.42875734512596E-02 
468	 7.43400955675729E-02 
469	 7.47957515702502E-02 
470	 0.075015276559687 
471	 7.49634882728659E-02 
472	 7.51867147226538E-02 
473	 7.51848852038698E-02 
474	 7.47177896464594E-02 
475	 7.45192840454836E-02 
476	 7.45811473682853E-02 
477	 7.46929213151918E-02 
478	 7.49392572314649E-02 
479	 7.52213670609278E-02 
480	 7.51287974910438E-02 
481	 0.074957328693746 
482	 7.49628289606053E-02 
483	 7.50912548298762E-02 
484	 7.53144913030517E-02 
485	 7.55747431135575E-02 
486	 7.59482842717651E-02 
487	 7.62746433963632E-02 
488	 0.075635230075162 
489	 7.51286688161878E-02 
490	 7.58549125502825E-02 
491	 7.65630922466095E-02 
