Wavelength	AVEI200266.asd
325	 6.52504147964738E-02 
326	 7.14681505321988E-02 
327	 0.074713321578622 
328	 7.16106413529433E-02 
329	 7.11675680743182E-02 
330	 7.46931648093381E-02 
331	 0.070730312053144 
332	 6.46621159390922E-02 
333	 6.26941081978243E-02 
334	 7.04381782424765E-02 
335	 0.080939394920265 
336	 7.66380134168706E-02 
337	 7.47242580755361E-02 
338	 7.74121599487004E-02 
339	 0.067555021603241 
340	 6.06750176240944E-02 
341	 6.88203641825144E-02 
342	 7.32598087060007E-02 
343	 7.36013433355641E-02 
344	 7.49312456562655E-02 
345	 7.45430285386617E-02 
346	 0.072702395400057 
347	 7.26160902742034E-02 
348	 7.26120834700418E-02 
349	 7.17148138452975E-02 
350	 7.20988295058737E-02 
351	 7.32960201966201E-02 
352	 7.41815920948733E-02 
353	 7.55803105999579E-02 
354	 7.62756979163686E-02 
355	 7.09969341187311E-02 
356	 6.78053975431451E-02 
357	 7.10828625688662E-02 
358	 7.45010996758617E-02 
359	 7.58511383936077E-02 
360	 7.31112543010798E-02 
361	 7.36031447458759E-02 
362	 7.70547603055031E-02 
363	 7.61210465156989E-02 
364	 7.44371421756111E-02 
365	 7.40888177893286E-02 
366	 7.48283387707133E-02 
367	 7.54651106291767E-02 
368	 7.44887050601617E-02 
369	 0.07348828072581 
370	 7.29599121806192E-02 
371	 0.073294701926868 
372	 7.29571905874166E-02 
373	 7.15230666800198E-02 
374	 7.23765970823901E-02 
375	 7.37761242972529E-02 
376	 7.29269402575484E-02 
377	 7.34690938821235E-02 
378	 7.47673849554505E-02 
379	 7.16518535202333E-02 
380	 7.03091711379755E-02 
381	 7.33118250823089E-02 
382	 7.53808540901046E-02 
383	 0.075807112699859 
384	 0.074406457721478 
385	 7.33020318162206E-02 
386	 7.28921145418588E-02 
387	 7.21766096098891E-02 
388	 7.23335757575758E-02 
389	 7.33302775162264E-02 
390	 7.17885770558742E-02 
391	 7.01409944439529E-02 
392	 7.14303880007323E-02 
393	 7.29064781323625E-02 
394	 7.37033937281014E-02 
395	 0.073288682583267 
396	 7.27252035876169E-02 
397	 7.25461911031964E-02 
398	 7.27792088943489E-02 
399	 7.26893896984102E-02 
400	 7.16145366444143E-02 
401	 7.19619022031796E-02 
402	 7.32619319069003E-02 
403	 7.33396967786274E-02 
404	 7.33636704131021E-02 
405	 7.37612425410362E-02 
