Wavelength	A00317.asd
325	 5.92180420666091E-02 
326	 6.01325377938524E-02 
327	 0.07215660678795 
328	 6.74232931958035E-02 
329	 6.69685019848504E-02 
330	 7.51751613333453E-02 
331	 7.31824076575557E-02 
332	 6.96335129165254E-02 
333	 0.073617365088879 
334	 7.39028524211716E-02 
335	 0.07095329612197 
336	 6.93089063620772E-02 
337	 7.17699841980231E-02 
338	 7.68676953577206E-02 
339	 7.42158685190087E-02 
340	 0.069033309146667 
341	 6.64470347596833E-02 
342	 7.07598773903624E-02 
343	 0.076971723952691 
344	 7.51000338366439E-02 
345	 7.29154582396137E-02 
346	 7.23849637287043E-02 
347	 7.22695149413481E-02 
348	 7.27427879302224E-02 
349	 7.38005623493757E-02 
350	 0.074790574458011 
351	 7.49663373478784E-02 
352	 7.34118235769946E-02 
353	 7.08491792599663E-02 
354	 6.86773171048052E-02 
355	 7.07561057227954E-02 
356	 7.27104144267552E-02 
357	 7.22062950754067E-02 
358	 7.35409146420543E-02 
359	 7.50817825136897E-02 
360	 7.37152208486127E-02 
361	 0.0728111105364 
362	 7.31261824160944E-02 
363	 7.43776541138906E-02 
364	 7.43782879386685E-02 
365	 7.24716418673628E-02 
366	 7.26988775239194E-02 
367	 7.30462336915091E-02 
368	 7.02939544079866E-02 
369	 6.97277405053717E-02 
370	 7.13520452055434E-02 
371	 7.07971793950853E-02 
372	 7.06060834551935E-02 
373	 7.17990151578927E-02 
374	 7.12363819808021E-02 
375	 7.11758154434514E-02 
376	 7.49739525388052E-02 
377	 7.55604958373428E-02 
378	 0.0726021561932 
379	 7.06130227847656E-02 
380	 6.99714438202556E-02 
381	 7.08491418880276E-02 
382	 7.21926255846101E-02 
383	 7.29350165211524E-02 
384	 7.19177625692121E-02 
385	 7.27224483154333E-02 
386	 7.46503368816988E-02 
387	 7.29109537654663E-02 
388	 0.071645778227637 
389	 7.22660583315409E-02 
390	 7.10521657477492E-02 
391	 0.070380418644244 
392	 7.32000931849664E-02 
393	 7.30967941515311E-02 
394	 7.09389550521122E-02 
395	 7.33844198606175E-02 
396	 7.49439835236526E-02 
397	 7.36665526944801E-02 
398	 7.23060466225903E-02 
399	 7.12779595041205E-02 
400	 0.070691143440561 
401	 7.09025352440967E-02 
402	 7.15895131510312E-02 
403	 7.19764858738277E-02 
404	 0.07207556840835 
405	 7.19600528375768E-02 
406	 7.21531488973798E-02 
407	 7.24237054945081E-02 
408	 7.24300862353139E-02 
409	 7.21258739562552E-02 
410	 7.16980716439623E-02 
411	 7.16281276720616E-02 
412	 7.18652483373227E-02 
413	 7.22551920258554E-02 
414	 7.20426243271118E-02 
415	 7.16043346180122E-02 
416	 7.15118873719426E-02 
417	 7.14954379228653E-02 
418	 7.16761841118186E-02 
419	 7.26962064202314E-02 
420	 7.33155244624414E-02 
421	 0.072921097055032 
422	 7.23915663534409E-02 
423	 7.20373510192996E-02 
424	 7.21279009260177E-02 
425	 7.20936129183282E-02 
426	 7.19943351446924E-02 
427	 7.26414331777407E-02 
428	 7.32297842444666E-02 
429	 7.32336721875377E-02 
430	 7.30010412847078E-02 
431	 7.28356310293396E-02 
432	 7.31782887406585E-02 
433	 7.28886003333289E-02 
434	 7.20758947552457E-02 
435	 7.22029269907817E-02 
436	 7.25175587789383E-02 
437	 7.25459593490819E-02 
438	 7.29328610546925E-02 
439	 7.33596783966356E-02 
440	 7.31024736121183E-02 
441	 7.27861734935893E-02 
442	 0.07268478823421 
443	 7.30694657139158E-02 
444	 7.33567831798973E-02 
445	 7.31255053307536E-02 
446	 7.32366269438391E-02 
447	 7.36279497869212E-02 
448	 7.38727520123437E-02 
449	 7.39148868148826E-02 
450	 7.37762105909454E-02 
451	 7.37571226296794E-02 
452	 7.37780471732233E-02 
453	 7.37480823736143E-02 
454	 7.37670961252876E-02 
455	 7.39212272746116E-02 
456	 7.44793903562894E-02 
457	 7.45346334066349E-02 
458	 7.39489816078994E-02 
459	 7.43825947278961E-02 
460	 7.48777871740403E-02 
461	 7.41853295670153E-02 
462	 7.41154941663096E-02 
463	 0.074608866690042 
464	 7.41259125403898E-02 
465	 7.37946664202731E-02 
466	 7.41408506702178E-02 
467	 7.45269708667356E-02 
468	 7.46654084123843E-02 
469	 7.42550144116128E-02 
470	 7.42670405005805E-02 
471	 7.47354568060324E-02 
472	 7.48092994133054E-02 
473	 7.47285082320461E-02 
474	 7.46640579020612E-02 
475	 7.47108669173541E-02 
476	 7.48137133050944E-02 
477	 7.48686620301338E-02 
478	 7.45741740006848E-02 
479	 7.41103400929653E-02 
480	 7.45762201954682E-02 
481	 0.07513184100008 
482	 7.50799905051587E-02 
483	 7.47458110635674E-02 
484	 0.07450600049239 
485	 7.51912033376017E-02 
486	 7.54057293708325E-02 
487	 0.074926050877211 
488	 7.56221271657457E-02 
489	 0.076170677136189 
