Wavelength	A00179.asd
325	 4.14045736756655E-02 
326	 3.77963069121356E-02 
327	 4.10252420240739E-02 
328	 3.51993666907087E-02 
329	 3.63927641192719E-02 
330	 4.66638683400987E-02 
331	 4.57114116147602E-02 
332	 4.24641885392911E-02 
333	 0.046491299728491 
334	 4.86553353554493E-02 
335	 4.74525123621911E-02 
336	 4.16941092873977E-02 
337	 4.23649138601692E-02 
338	 5.03669974863237E-02 
339	 5.36895386142148E-02 
340	 5.17804580863327E-02 
341	 4.56708458696685E-02 
342	 4.57678694627909E-02 
343	 4.95136797394301E-02 
344	 4.93408951041328E-02 
345	 4.70200494518914E-02 
346	 4.42328600769275E-02 
347	 4.56243673655487E-02 
348	 4.78926134886298E-02 
349	 0.048590666035707 
350	 4.76269033086022E-02 
351	 4.56503022576596E-02 
352	 4.34688325299259E-02 
353	 0.043253241469479 
354	 4.49290048549351E-02 
355	 4.63531440524994E-02 
356	 4.57382798220426E-02 
357	 4.28285577767313E-02 
358	 4.43104469052611E-02 
359	 0.047367233347675 
360	 4.66980450379724E-02 
361	 4.48049027062106E-02 
362	 4.34780926588645E-02 
363	 4.68656428776575E-02 
364	 4.76966266717208E-02 
365	 4.33509030675767E-02 
366	 4.37076833138547E-02 
367	 4.58867141069087E-02 
368	 4.47306884666135E-02 
369	 4.42690778723348E-02 
370	 4.50158139647331E-02 
371	 4.55619539592335E-02 
372	 4.62114950793283E-02 
373	 4.70639525375489E-02 
374	 4.78911869795318E-02 
375	 4.86212751563071E-02 
376	 4.92105501083044E-02 
377	 4.81297667706588E-02 
378	 4.59938801478736E-02 
379	 4.58031272733172E-02 
380	 4.60863177934161E-02 
381	 4.61949042339457E-02 
382	 4.70555820850768E-02 
383	 4.76910390900073E-02 
384	 4.67786293402293E-02 
385	 4.75686975039727E-02 
386	 4.93679166707633E-02 
387	 4.75887787420564E-02 
388	 4.68748297401528E-02 
389	 4.85965134898414E-02 
390	 4.75042033334814E-02 
391	 4.64458667603696E-02 
392	 4.90844915734373E-02 
393	 4.91784479938557E-02 
394	 4.69599624284655E-02 
395	 0.047078167670599 
396	 4.69008951125077E-02 
397	 4.57209246685507E-02 
398	 4.58263934755765E-02 
399	 0.045989972923441 
400	 4.48886690517811E-02 
401	 4.49518003603157E-02 
402	 4.59197648077407E-02 
403	 4.61469512969751E-02 
404	 4.61356450796812E-02 
405	 0.046203683583013 
406	 4.71046958077901E-02 
407	 4.79497079283896E-02 
408	 4.76011911095341E-02 
409	 4.72746456628672E-02 
410	 4.71551324144086E-02 
411	 4.68338569866005E-02 
412	 4.69120738887372E-02 
413	 4.75054650212831E-02 
