Wavelength	SHSI00052.asd
325	 5.60234950749304E-02 
326	 5.61789059364246E-02 
327	 5.09970533658609E-02 
328	 4.77089749626397E-02 
329	 5.03226560513793E-02 
330	 0.056755789115813 
331	 4.73217022725742E-02 
332	 3.95842170976428E-02 
333	 4.99271031103167E-02 
334	 4.96966095231473E-02 
335	 4.26238893235475E-02 
336	 4.95750238195299E-02 
337	 5.10839779312616E-02 
338	 4.42822403309193E-02 
339	 4.50552132240609E-02 
340	 4.75189677841842E-02 
341	 0.046328704649077 
342	 4.43565000806058E-02 
343	 4.31164056594395E-02 
344	 4.45643272305032E-02 
345	 0.046472535314502 
346	 4.69404230904359E-02 
347	 4.08119159220285E-02 
348	 3.84252056179493E-02 
349	 4.54134462467058E-02 
350	 0.048155919653474 
351	 4.72859009246087E-02 
352	 0.046736652308438 
353	 4.53469180741756E-02 
354	 4.38804738575239E-02 
355	 4.57359218952057E-02 
356	 4.62445318576842E-02 
357	 4.33350220482213E-02 
358	 4.41204686167643E-02 
359	 4.66928808763799E-02 
360	 4.69437135352541E-02 
361	 4.65654538947988E-02 
362	 0.045864750009786 
363	 4.45851212470484E-02 
364	 4.35622660974368E-02 
365	 4.31732890074466E-02 
366	 4.27160883960442E-02 
367	 4.20472442381208E-02 
368	 4.10542784722099E-02 
369	 0.041753186147936 
370	 4.39959952096451E-02 
371	 4.60814676429388E-02 
372	 4.61922558045637E-02 
373	 0.043761006886646 
374	 4.26511667135934E-02 
375	 4.25273500199532E-02 
376	 4.22593633087544E-02 
377	 4.19277817144356E-02 
378	 4.17095544800664E-02 
379	 4.25507100942472E-02 
380	 4.18516765983889E-02 
381	 3.89935505091845E-02 
382	 3.89654905423719E-02 
383	 4.01369316680881E-02 
384	 3.97686945988802E-02 
385	 3.99762817913477E-02 
386	 4.08539035623734E-02 
387	 4.14278679748947E-02 
388	 4.10258596411982E-02 
389	 3.96796600143483E-02 
390	 3.95790943128962E-02 
391	 3.95953222638742E-02 
392	 3.82304993555357E-02 
393	 3.77986518010902E-02 
394	 3.81444832747842E-02 
395	 0.037340467172458 
396	 3.69178547748668E-02 
397	 3.72054337419407E-02 
398	 3.61862083032963E-02 
399	 3.51393766037803E-02 
400	 3.54347064940766E-02 
401	 3.65419780952638E-02 
402	 3.75376037259906E-02 
403	 3.64848714374506E-02 
404	 0.035491606179976 
405	 3.54032725936002E-02 
406	 3.55742534033105E-02 
407	 3.58444909032548E-02 
408	 3.60852737669812E-02 
409	 3.52607069461468E-02 
410	 3.39037269303071E-02 
411	 3.41344558887296E-02 
412	 3.47432416031866E-02 
413	 3.49995726177347E-02 
414	 3.42801981047241E-02 
415	 3.33523744904379E-02 
416	 3.32545780460974E-02 
417	 3.37241417338776E-02 
418	 3.42656864698207E-02 
419	 3.35101237704535E-02 
420	 3.29817314773378E-02 
421	 3.33760364131674E-02 
422	 3.32829740816749E-02 
423	 3.28580042808547E-02 
424	 3.25367187308215E-02 
425	 3.29176104099732E-02 
426	 3.37249685281092E-02 
427	 3.33909739706185E-02 
428	 3.29254289167716E-02 
429	 3.29588762734553E-02 
430	 3.28738387449681E-02 
431	 3.26682377725148E-02 
432	 3.24561873430377E-02 
433	 3.25038249007781E-02 
434	 3.26253834082947E-02 
435	 3.18540333534964E-02 
436	 3.12210175126065E-02 
437	 3.13706293858771E-02 
438	 3.15257778284904E-02 
439	 3.16899076011978E-02 
440	 3.21311591179668E-02 
