Wavelength	A00189.asd
325	 4.82300850616994E-02 
326	 0.05255167706726 
327	 0.05466856200167 
328	 6.11959186456539E-02 
329	 6.23477819552162E-02 
330	 5.61063113173763E-02 
331	 5.00084238611997E-02 
332	 4.90891444948333E-02 
333	 5.70951712922233E-02 
334	 6.56926283251056E-02 
335	 6.96265001249318E-02 
336	 6.04481569254106E-02 
337	 5.45017600912696E-02 
338	 5.61353298522384E-02 
339	 5.82208987502028E-02 
340	 5.85797064742686E-02 
341	 5.62115172624811E-02 
342	 5.69477579836669E-02 
343	 5.96333785761207E-02 
344	 6.09327133354983E-02 
345	 5.85509226518842E-02 
346	 5.41849621133465E-02 
347	 5.70823147442692E-02 
348	 5.91542645366911E-02 
349	 5.56665674461945E-02 
350	 0.055267025600264 
351	 5.67587215847914E-02 
352	 5.65760398363053E-02 
353	 5.60882502222234E-02 
354	 5.61028671457218E-02 
355	 5.86516453713801E-02 
356	 5.97106985138068E-02 
357	 5.75184614031184E-02 
358	 5.85248519367111E-02 
359	 6.07489811025047E-02 
360	 6.01454387267266E-02 
361	 5.87421436753235E-02 
362	 5.77242286488055E-02 
363	 5.93199094442399E-02 
364	 6.02801202661586E-02 
365	 5.92033833233994E-02 
366	 5.93508654800901E-02 
367	 5.93096084755657E-02 
368	 0.056770948361581 
369	 5.57453858393888E-02 
370	 5.66922571520226E-02 
371	 5.77164735146905E-02 
372	 5.88533657338475E-02 
373	 5.99672836384948E-02 
374	 6.07009670865305E-02 
375	 6.09189168248557E-02 
376	 0.060534665252565 
377	 5.98217090533048E-02 
378	 0.05922843704072 
379	 5.97459563052875E-02 
380	 6.06155466114984E-02 
381	 0.061259007854558 
382	 6.07720118290832E-02 
383	 6.02971447672964E-02 
384	 6.14137816415892E-02 
385	 0.062453275228674 
386	 6.26634020205879E-02 
387	 6.12618520034205E-02 
388	 6.00191406329124E-02 
389	 5.96159976799852E-02 
390	 5.85421253323013E-02 
391	 5.79649863652336E-02 
392	 0.05929731108635 
393	 6.02667629084944E-02 
394	 0.06056540854183 
395	 6.09772071215231E-02 
396	 6.09446431436012E-02 
397	 6.02939401216517E-02 
398	 5.92140601886316E-02 
399	 5.82700848282072E-02 
400	 5.79390940898882E-02 
401	 5.86711868078769E-02 
402	 6.00848752738679E-02 
403	 6.14411448261368E-02 
404	 6.15652564248549E-02 
405	 6.03882933198285E-02 
406	 6.08871509571419E-02 
407	 6.19010087630213E-02 
408	 6.16848016583243E-02 
409	 6.12798308288603E-02 
410	 6.08879549741927E-02 
411	 0.060246453450226 
412	 6.04307147504378E-02 
413	 6.16225886053125E-02 
414	 6.15708132294625E-02 
415	 6.10755656817462E-02 
416	 6.14431572258227E-02 
417	 6.14763040123225E-02 
418	 6.12287263581822E-02 
419	 6.17151758078502E-02 
420	 6.21866744848484E-02 
421	 6.22743899365516E-02 
422	 6.24318975267054E-02 
423	 6.27617447117843E-02 
424	 6.33508333463701E-02 
425	 6.34689123703004E-02 
426	 6.32218315184036E-02 
427	 6.37779151340122E-02 
428	 6.40833868587192E-02 
429	 6.35714775762422E-02 
430	 6.35665587991229E-02 
431	 6.38283218374549E-02 
432	 6.36757635641774E-02 
433	 6.32467528938867E-02 
434	 6.28469616009912E-02 
435	 0.063410312790915 
436	 6.38796006454847E-02 
437	 6.36694461839396E-02 
438	 0.064369515144809 
439	 6.52746912599366E-02 
440	 6.46548545644992E-02 
441	 6.44407327024063E-02 
442	 6.50054743368142E-02 
443	 6.53146312869665E-02 
444	 0.065341995669854 
445	 6.51684591736482E-02 
446	 6.57323860704203E-02 
447	 6.65461914535709E-02 
448	 6.61588323718789E-02 
449	 6.58606162603544E-02 
450	 6.60891013442545E-02 
451	 6.66704095780188E-02 
452	 6.72441564219583E-02 
453	 6.74569075358663E-02 
454	 6.73068259898845E-02 
455	 6.69993706922422E-02 
456	 6.70138071289494E-02 
457	 6.73771842513831E-02 
458	 6.80037004854243E-02 
459	 6.83509828386796E-02 
