Wavelength	AVE00021.asd
325	 4.51852671072373E-02 
326	 5.77279538709468E-02 
327	 0.062098416915159 
328	 5.79931275080725E-02 
329	 5.91577193988565E-02 
330	 6.78363935979798E-02 
331	 6.65586248591271E-02 
332	 6.51949150569631E-02 
333	 7.33979723774044E-02 
334	 7.15359443555842E-02 
335	 6.31213283722355E-02 
336	 6.39391921543061E-02 
337	 6.30662644416179E-02 
338	 0.059136287976373 
339	 6.09879670530221E-02 
340	 6.36940440943605E-02 
341	 6.30965944224545E-02 
342	 6.25123427434121E-02 
343	 6.16466685353221E-02 
344	 5.86836687946596E-02 
345	 5.89159723727816E-02 
346	 0.061943983783845 
347	 6.10641882314826E-02 
348	 5.83221694306638E-02 
349	 5.56091823302716E-02 
350	 5.49861674506557E-02 
351	 5.54083330656258E-02 
352	 5.46946188338796E-02 
353	 0.055987993301306 
354	 5.87627553753414E-02 
355	 5.85667505525568E-02 
356	 0.057455515238845 
357	 5.70326724580621E-02 
358	 0.058752543645663 
359	 6.12634457311348E-02 
360	 6.23648758165338E-02 
361	 6.05340661197893E-02 
362	 5.71598890290733E-02 
363	 5.74073374312673E-02 
364	 5.92806810666592E-02 
365	 6.12460332115403E-02 
366	 6.09753468463815E-02 
367	 6.04304042865294E-02 
368	 6.25582483789535E-02 
369	 6.16908317214432E-02 
370	 5.84324076680825E-02 
371	 5.92849538840228E-02 
372	 6.11496746514429E-02 
373	 6.22428058755959E-02 
374	 6.32900525305348E-02 
375	 6.32980198328816E-02 
376	 6.09833381053381E-02 
377	 0.060772837052251 
378	 6.20872421355917E-02 
379	 5.94855325845057E-02 
380	 5.70776484705466E-02 
381	 5.68397543989212E-02 
382	 5.64260190904518E-02 
383	 0.056886055996397 
384	 5.97954863011151E-02 
385	 6.12599501542096E-02 
386	 6.08506957511851E-02 
387	 0.060510597766316 
388	 0.059916895808204 
389	 5.92884022601214E-02 
390	 6.05340873075009E-02 
391	 6.12300506189868E-02 
392	 5.85305131822563E-02 
393	 5.94406808753406E-02 
394	 6.33283691375391E-02 
395	 6.44613064682185E-02 
396	 6.30102527734629E-02 
397	 0.0598242281997 
398	 0.058253044828286 
399	 5.80078449233598E-02 
400	 5.83913745588393E-02 
401	 5.88138833311386E-02 
402	 5.90730015312728E-02 
403	 5.91418487704802E-02 
404	 5.89571094546789E-02 
405	 5.86487153640594E-02 
406	 5.91044657718425E-02 
407	 5.98806605027619E-02 
408	 6.03390051370099E-02 
409	 6.01742887689488E-02 
410	 5.97584200638099E-02 
411	 6.04193388671366E-02 
412	 0.060735379391988 
413	 6.01756047061251E-02 
414	 5.99032291979672E-02 
415	 5.98759488669936E-02 
416	 5.98786219433412E-02 
417	 6.00511440312017E-02 
418	 6.03170293997242E-02 
419	 6.03689577271346E-02 
420	 6.04657397788667E-02 
421	 6.07460290638729E-02 
422	 6.12017007592042E-02 
423	 0.061452606397796 
424	 6.09663149669715E-02 
425	 6.05583653067942E-02 
426	 6.05977869425475E-02 
427	 6.16648326089935E-02 
428	 6.20313158437424E-02 
429	 6.08606564374809E-02 
430	 6.12820615606326E-02 
431	 6.22941553448718E-02 
432	 6.15702852584941E-02 
433	 6.10643087032801E-02 
434	 6.10758922635668E-02 
435	 6.07290442558707E-02 
436	 0.060462767203812 
437	 0.060562346019096 
438	 6.06876727229817E-02 
439	 6.09594353651574E-02 
440	 6.17727468170372E-02 
441	 0.061819916089894 
442	 6.11043131909844E-02 
443	 0.061341995742281 
444	 6.21077213238653E-02 
445	 6.29031886152695E-02 
446	 6.26110036600039E-02 
447	 6.18405433511072E-02 
448	 6.24372726962202E-02 
449	 6.25855402250808E-02 
450	 0.061986180646151 
451	 6.22505754688167E-02 
452	 6.28599927894722E-02 
453	 6.32077035942752E-02 
454	 6.34756598717174E-02 
455	 6.35894062609468E-02 
456	 6.32558587261916E-02 
457	 6.31319752519772E-02 
458	 6.34269658758462E-02 
459	 6.35549556339118E-02 
460	 0.063564423599512 
461	 0.063570703097652 
462	 6.34391191760633E-02 
463	 6.32634839461894E-02 
464	 6.33641150698967E-02 
465	 6.36704988838996E-02 
466	 6.40550926538705E-02 
467	 6.39162375146026E-02 
468	 0.063636190447411 
469	 6.38637479915392E-02 
470	 6.42366092876934E-02 
471	 0.064437208049311 
472	 6.36491372841306E-02 
473	 6.32116030632513E-02 
474	 6.38667548669391E-02 
475	 6.41686444931214E-02 
476	 6.41408656683794E-02 
477	 6.41986158981127E-02 
478	 0.064121803408471 
479	 6.38964503812197E-02 
480	 6.36125699298091E-02 
481	 6.35579626119911E-02 
482	 6.39697893252622E-02 
483	 6.48950772050017E-02 
484	 6.57520028601716E-02 
485	 6.51105289044622E-02 
486	 6.48744244807848E-02 
487	 6.54462832877767E-02 
488	 6.49160951980873E-02 
489	 6.41767476083528E-02 
490	 6.42306764374001E-02 
491	 0.064820796970811 
492	 6.55141665708951E-02 
493	 0.065278933470192 
494	 6.51950678498922E-02 
495	 0.065603243647759 
496	 6.54755609944745E-02 
497	 6.51998796961942E-02 
498	 6.53924609891262E-02 
499	 6.53648624389068E-02 
500	 6.52075226498356E-02 
501	 6.57536599935602E-02 
502	 6.65141856318187E-02 
503	 6.71228130243038E-02 
504	 6.73145754165611E-02 
505	 6.73087258513666E-02 
506	 6.75343951757641E-02 
507	 6.75806683945946E-02 
508	 6.75854236802945E-02 
509	 0.06854460327772 
510	 6.94300352134739E-02 
511	 6.94797688978747E-02 
512	 6.99629212474787E-02 
513	 7.07985355590446E-02 
514	 7.13215651981202E-02 
515	 7.16790772020112E-02 
516	 7.20038002758532E-02 
517	 7.27970148137621E-02 
518	 7.37026933753279E-02 
519	 7.42850152183422E-02 
520	 7.42818717431813E-02 
521	 7.41198053586449E-02 
522	 7.50588763745107E-02 
523	 7.59619121734594E-02 
524	 7.63818014626765E-02 
525	 7.69785000644401E-02 
526	 7.79575991214455E-02 
527	 0.079524806578502 
