Wavelength	SHSI00020.asd
325	 4.72370518177076E-02 
326	 5.60854225599112E-02 
327	 5.74920103495097E-02 
328	 5.63621534438356E-02 
329	 0.053426791543033 
330	 4.97669860175447E-02 
331	 4.78665301582866E-02 
332	 4.80653459091114E-02 
333	 5.02455675146247E-02 
334	 5.21928314018107E-02 
335	 5.28133114961579E-02 
336	 5.09823382780591E-02 
337	 4.71510177075372E-02 
338	 4.31894550143178E-02 
339	 4.62863095918646E-02 
340	 5.02298815291556E-02 
341	 4.98097064896698E-02 
342	 4.83322142230683E-02 
343	 4.67236512125629E-02 
344	 4.53983412268723E-02 
345	 4.62511026188944E-02 
346	 4.87937359494997E-02 
347	 0.049111797870902 
348	 4.97863646371397E-02 
349	 5.20686160022156E-02 
350	 5.06951753377032E-02 
351	 0.04821917805337 
352	 4.96883230254936E-02 
353	 5.03530136988455E-02 
354	 4.97229879217446E-02 
355	 5.06602672852302E-02 
356	 5.08879840619495E-02 
357	 0.049366740733831 
358	 4.92670539352726E-02 
359	 4.99245198153772E-02 
360	 4.97646890545234E-02 
361	 4.94716605275099E-02 
362	 4.93833345441711E-02 
363	 5.04818334785946E-02 
364	 4.96786549318966E-02 
365	 4.62077859445723E-02 
366	 4.64303669283308E-02 
367	 4.82835737542425E-02 
368	 4.82040634800057E-02 
369	 4.77416861454978E-02 
370	 4.75280225419764E-02 
371	 4.85943586566481E-02 
372	 4.95282693863265E-02 
373	 4.95757231736156E-02 
374	 0.049502646430679 
375	 4.90186266465922E-02 
376	 0.047648507921892 
377	 4.70554834697391E-02 
378	 4.73298922638811E-02 
379	 4.71712018223155E-02 
380	 4.75157530167142E-02 
381	 0.048513031234509 
382	 4.81780056814884E-02 
383	 4.73477537511065E-02 
384	 4.73461983918203E-02 
385	 4.68323241201572E-02 
386	 4.61604835979737E-02 
387	 4.74280341993389E-02 
388	 4.79131284590367E-02 
389	 4.68229301206109E-02 
390	 4.78014820001523E-02 
391	 0.04827976972049 
392	 4.50737241068942E-02 
393	 4.45912094189232E-02 
394	 4.64774560527256E-02 
395	 4.56708789054096E-02 
396	 4.48467932880802E-02 
397	 4.49031116196614E-02 
398	 4.42565118679656E-02 
399	 4.34226344234137E-02 
400	 4.30163894871005E-02 
401	 4.28465883483255E-02 
402	 4.29859291663916E-02 
403	 0.043878318394562 
404	 4.40761192373439E-02 
405	 4.32949844318083E-02 
406	 4.37515863482978E-02 
407	 4.47038517186023E-02 
408	 4.50006977553893E-02 
409	 4.33429422911086E-02 
410	 4.09025264661584E-02 
411	 4.18132521143555E-02 
412	 0.042918111056689 
413	 4.27986892058428E-02 
414	 4.29323911796898E-02 
415	 4.28635206054946E-02 
416	 4.18556158091711E-02 
417	 4.15173551974328E-02 
418	 4.17954532277861E-02 
419	 4.11862543534358E-02 
420	 4.09045785430583E-02 
421	 4.14317644033406E-02 
