Wavelength	A00380.asd
325	 3.39017047560886E-02 
326	 3.55265576481587E-02 
327	 4.03969179688412E-02 
328	 2.79909695249617E-02 
329	 2.60314367633376E-02 
330	 3.91040227444492E-02 
331	 3.47917788821387E-02 
332	 2.95293138338404E-02 
333	 4.02875316550609E-02 
334	 4.38230122422799E-02 
335	 4.09251309339553E-02 
336	 4.27856346462128E-02 
337	 4.22988245360612E-02 
338	 3.89683538317264E-02 
339	 4.02907654681436E-02 
340	 0.040044134961598 
341	 3.41421431994445E-02 
342	 3.83509754560497E-02 
343	 4.71067197748303E-02 
344	 4.65554040980945E-02 
345	 4.28363900934294E-02 
346	 3.90464543027009E-02 
347	 4.05621121621769E-02 
348	 4.14328463365257E-02 
349	 3.84357976960219E-02 
350	 4.05343939942539E-02 
351	 4.37751113764002E-02 
352	 4.02644258086166E-02 
353	 3.86843299594761E-02 
354	 4.01920139442919E-02 
355	 0.040701406461836 
356	 4.01095736631024E-02 
357	 3.88609301338743E-02 
358	 4.08278440039772E-02 
359	 4.36968052020085E-02 
360	 4.35192634134081E-02 
361	 4.03139844658499E-02 
362	 3.65344810910146E-02 
363	 3.99822502911417E-02 
364	 0.042763105423723 
365	 4.12382223616987E-02 
366	 4.14329984534482E-02 
367	 4.21299204314759E-02 
368	 0.040910121850818 
369	 4.03431757106374E-02 
370	 4.07369479031641E-02 
371	 4.10080339051696E-02 
372	 4.13279920490342E-02 
373	 4.17141987346707E-02 
374	 4.15579893119779E-02 
375	 4.23175611348899E-02 
376	 4.59317100398515E-02 
377	 4.58399754130243E-02 
378	 4.20586768901618E-02 
379	 3.96635638299701E-02 
380	 3.95902339515921E-02 
381	 4.17449196991348E-02 
382	 4.13436703208379E-02 
383	 0.040377406123215 
384	 4.20621525568948E-02 
385	 4.30953162577171E-02 
386	 4.29766451161634E-02 
387	 0.042830679938833 
388	 0.042567853082406 
389	 4.22239963375867E-02 
390	 0.041653448636851 
391	 4.22661983994615E-02 
392	 4.55508653961063E-02 
393	 4.56531762173643E-02 
394	 0.042970041145367 
395	 4.23814887120188E-02 
396	 4.20934104643013E-02 
397	 4.15676849471507E-02 
398	 4.19789142454479E-02 
399	 4.22159378324995E-02 
400	 4.11878216545855E-02 
401	 4.13463680886035E-02 
402	 4.24019008104367E-02 
403	 0.042642495518343 
404	 4.24620117425522E-02 
405	 4.21591404554649E-02 
406	 4.26380642282539E-02 
407	 4.32400422990229E-02 
408	 4.30717300808131E-02 
409	 4.26144322474767E-02 
410	 4.21451804679858E-02 
411	 4.20136676922133E-02 
412	 4.23171456569583E-02 
413	 4.29480384987584E-02 
414	 4.30038458466874E-02 
415	 4.27861883537969E-02 
416	 4.28017801051936E-02 
417	 0.042613815391258 
418	 4.24430440572096E-02 
419	 4.33503481991724E-02 
420	 4.37875283601531E-02 
421	 4.30919854047976E-02 
422	 4.29455422571921E-02 
423	 0.043352215538727 
424	 4.40289788016683E-02 
425	 4.44499562030843E-02 
426	 4.45956719566584E-02 
427	 0.045108107025928 
428	 4.52002711214968E-02 
429	 4.45058323614045E-02 
430	 4.43737830338462E-02 
431	 4.47025355779319E-02 
432	 4.50377500088277E-02 
433	 4.46042963836065E-02 
434	 4.37227380868336E-02 
435	 4.42968719226358E-02 
436	 4.49740197677122E-02 
437	 4.48908817681924E-02 
438	 4.50074696098981E-02 
439	 4.52007748198148E-02 
440	 4.50035452421239E-02 
441	 4.47754246729902E-02 
442	 4.47364454658364E-02 
443	 4.52828478013089E-02 
444	 0.045825334420981 
445	 4.59016461149297E-02 
446	 0.04600542820956 
447	 4.61528548323797E-02 
448	 4.61839595994017E-02 
449	 4.62753764506159E-02 
450	 4.64493418000214E-02 
451	 4.64692069278608E-02 
452	 4.65866692470064E-02 
453	 4.70350849743273E-02 
454	 4.72654735995869E-02 
455	 4.72233411661422E-02 
456	 4.70724439224235E-02 
457	 4.69504096587048E-02 
458	 4.69857137902962E-02 
459	 4.74560602928326E-02 
460	 4.78377848894588E-02 
461	 4.75135602622607E-02 
462	 4.73574781181599E-02 
463	 4.74485856069875E-02 
464	 4.73413000964127E-02 
465	 0.047317872897059 
466	 4.75056747831613E-02 
467	 4.77210825685194E-02 
468	 4.79313269910648E-02 
469	 4.81265327022424E-02 
470	 4.81523989847257E-02 
471	 4.80578463829445E-02 
472	 4.81555122319376E-02 
473	 4.82850761095008E-02 
474	 4.83058338405329E-02 
475	 4.79084268277925E-02 
476	 4.75340162785892E-02 
477	 4.80219361189977E-02 
478	 4.82831250384181E-02 
479	 4.81887277404683E-02 
480	 4.86835586724546E-02 
481	 4.90921146011995E-02 
482	 4.88956096704315E-02 
483	 4.88492842984384E-02 
484	 4.90058590646806E-02 
485	 4.92136971979228E-02 
486	 4.90729879644625E-02 
487	 4.86499731243393E-02 
488	 0.049217183015616 
489	 4.96745081389959E-02 
490	 4.89082739272499E-02 
491	 4.82761936014349E-02 
492	 4.82553501177319E-02 
493	 4.94430007003203E-02 
494	 5.02086133489782E-02 
495	 4.99326020878907E-02 
496	 4.98551051093659E-02 
497	 4.99277139883884E-02 
498	 4.99302441160623E-02 
499	 4.99944689017237E-02 
500	 5.01739844674629E-02 
501	 5.05765291675174E-02 
502	 0.050845030934977 
503	 0.0507818706886 
504	 5.06939731219596E-02 
505	 5.06712688227105E-02 
506	 5.07742871930877E-02 
507	 5.09984782892643E-02 
508	 5.12935472715352E-02 
509	 5.14505571973265E-02 
510	 5.17305332500672E-02 
511	 5.22952155424704E-02 
512	 5.24948253116821E-02 
513	 5.24122920245706E-02 
514	 5.24974831915153E-02 
515	 5.25555143402365E-02 
516	 5.25865712484598E-02 
517	 5.29051818017215E-02 
518	 5.31619421345304E-02 
519	 5.29840845564601E-02 
520	 5.29104632992913E-02 
521	 5.30901751028705E-02 
522	 5.36448948195747E-02 
523	 5.39872050803401E-02 
524	 5.39169376203784E-02 
525	 5.41195308756776E-02 
526	 0.054491767408606 
527	 5.47859179177342E-02 
528	 5.48584707248493E-02 
529	 5.48060155501457E-02 
530	 5.51047375917353E-02 
531	 5.54576039432357E-02 
532	 5.56724941598584E-02 
533	 5.59485907077186E-02 
534	 0.056166809541514 
535	 5.60147745574553E-02 
536	 5.61356327200411E-02 
537	 5.65925842076491E-02 
538	 5.66087943111033E-02 
539	 5.65950927424208E-02 
540	 5.69598790560933E-02 
541	 5.71972055135257E-02 
542	 5.72104173220833E-02 
543	 5.69528930292385E-02 
544	 5.70326753570078E-02 
545	 5.76103893039055E-02 
546	 5.78802285791777E-02 
547	 5.79372833806088E-02 
548	 0.058009063215151 
549	 5.81368056032902E-02 
550	 5.83764973587979E-02 
551	 5.88657515069237E-02 
552	 5.92390255441797E-02 
553	 5.92546748372189E-02 
554	 0.058978455014014 
555	 5.87741457009987E-02 
556	 5.92947629208871E-02 
557	 5.96592020910488E-02 
558	 5.96679768171257E-02 
559	 5.98768248482302E-02 
560	 6.00612589150558E-02 
561	 6.00130651382169E-02 
562	 6.00184544053521E-02 
563	 6.00987701067387E-02 
564	 6.01628417236601E-02 
565	 6.02245241191884E-02 
566	 6.02691930298664E-02 
567	 6.01857553613074E-02 
568	 6.01511138449826E-02 
569	 6.03957913193039E-02 
570	 6.06204291211534E-02 
571	 0.060807964294912 
572	 6.12179984495215E-02 
573	 6.14673509524062E-02 
574	 6.13670701599772E-02 
575	 6.14184901809994E-02 
576	 6.16098309502019E-02 
577	 6.18132117788835E-02 
578	 0.061647379387219 
579	 6.11551136743805E-02 
580	 6.10964106742145E-02 
581	 6.11770376679945E-02 
582	 6.11240060431055E-02 
583	 0.061239883208045 
584	 6.14359644884429E-02 
585	 6.13456362636924E-02 
586	 6.13522398433408E-02 
587	 6.15639985567541E-02 
588	 6.16453020711002E-02 
589	 6.15856348446653E-02 
590	 6.14188222573174E-02 
591	 6.13722223923868E-02 
592	 6.14814810612985E-02 
593	 0.061623148922179 
594	 6.18605236988293E-02 
595	 6.21923675699967E-02 
596	 6.23328345242821E-02 
597	 6.23993674240961E-02 
598	 6.27047786136136E-02 
599	 6.25530238816061E-02 
600	 0.061940441273702 
601	 6.18061581169128E-02 
602	 0.061882237244418 
603	 6.19147935376847E-02 
604	 0.06223978647733 
605	 6.26774886718439E-02 
606	 6.26649111986123E-02 
607	 6.26207368228372E-02 
608	 0.062708534056867 
609	 6.28723053115911E-02 
610	 6.29473723929286E-02 
611	 6.27399031100532E-02 
612	 0.062771083417331 
613	 6.30303325257295E-02 
614	 6.30452722567085E-02 
615	 6.29344454952976E-02 
616	 6.27765985669516E-02 
617	 0.062618658745344 
618	 6.24912917021758E-02 
619	 6.24159186029169E-02 
620	 6.24311153979614E-02 
621	 6.25096816180595E-02 
622	 6.24943222620177E-02 
623	 6.24563476379829E-02 
624	 6.24683709368886E-02 
625	 6.25520859995182E-02 
626	 6.26665529906797E-02 
627	 6.26884868034247E-02 
628	 6.27608749119278E-02 
629	 6.29109462915052E-02 
630	 6.29527675696381E-02 
631	 6.29291562267185E-02 
632	 6.29152606603026E-02 
633	 6.31057499085333E-02 
634	 6.34247391401804E-02 
635	 6.35056556156109E-02 
636	 6.33710054946412E-02 
637	 6.31133469530104E-02 
638	 6.33639863826234E-02 
639	 6.38042645042831E-02 
640	 6.36937216994878E-02 
641	 6.39345017983311E-02 
642	 6.44689214993965E-02 
643	 6.38018586109512E-02 
644	 6.31958923138266E-02 
645	 6.37340664717456E-02 
646	 6.40006874123364E-02 
647	 6.38160492100684E-02 
648	 6.33588029024315E-02 
649	 6.32984005587465E-02 
650	 6.37633949829625E-02 
651	 6.36551663495555E-02 
652	 6.33100057351605E-02 
653	 6.32367881235453E-02 
654	 6.35985603608126E-02 
655	 6.41371513530102E-02 
656	 6.37407959006005E-02 
657	 6.32222232375937E-02 
658	 6.30502413594096E-02 
659	 6.25842725422668E-02 
660	 6.21294851892671E-02 
661	 6.23243212653103E-02 
662	 0.061968113443484 
663	 6.10355024296584E-02 
664	 6.09622079151697E-02 
665	 6.11272568343643E-02 
666	 6.09780746243871E-02 
667	 6.07926739042954E-02 
668	 6.06156876449471E-02 
669	 6.05120964151338E-02 
670	 6.00745481746327E-02 
671	 5.93785941556528E-02 
672	 5.97219499707522E-02 
673	 6.02908718279437E-02 
674	 0.060061924559601 
675	 5.99218414989969E-02 
676	 6.00234999535587E-02 
677	 6.02092207064925E-02 
678	 6.03995309342449E-02 
679	 6.05823138837425E-02 
680	 6.10982205755638E-02 
681	 6.15729702284718E-02 
682	 6.13412695997335E-02 
683	 6.16202872302989E-02 
684	 6.25181331698137E-02 
685	 6.30091750426343E-02 
686	 6.34166191408253E-02 
687	 6.39973007967717E-02 
688	 0.064385271559205 
689	 6.47209537890922E-02 
690	 6.54748570849943E-02 
691	 6.65008701577806E-02 
692	 6.77210265163081E-02 
693	 6.89879430367507E-02 
694	 6.99246729455439E-02 
695	 7.01648778167044E-02 
696	 7.08009121785232E-02 
697	 7.17928959411687E-02 
698	 7.24354796743469E-02 
699	 7.28969165764481E-02 
700	 7.32486450125917E-02 
701	 7.35759022612351E-02 
702	 7.40400576678044E-02 
703	 7.48313213965485E-02 
704	 7.54594378259516E-02 
705	 7.58903189365075E-02 
706	 7.64936283664127E-02 
707	 7.69523473836042E-02 
708	 7.70803641842333E-02 
709	 7.70734741331442E-02 
710	 0.077313144426091 
711	 7.84914375226693E-02 
712	 7.90368123649357E-02 
713	 7.87437731491667E-02 
714	 7.91449200966876E-02 
715	 7.96888843462544E-02 
716	 7.98472454589131E-02 
717	 8.00828057910082E-02 
718	 0.080442301803909 
719	 8.06808136742838E-02 
720	 8.10830430224893E-02 
721	 8.16138325153404E-02 
722	 8.18165414518265E-02 
723	 8.18492420725332E-02 
724	 8.18819048379454E-02 
725	 8.20086348693228E-02 
726	 8.23160295705094E-02 
727	 8.30536251392566E-02 
