Wavelength	A00271.asd
325	 3.62722571347896E-02 
326	 3.73766832897983E-02 
327	 3.36374350061026E-02 
328	 4.17903435971893E-02 
329	 4.57679373014785E-02 
330	 4.16313807505134E-02 
331	 4.21145071859622E-02 
332	 4.21135686189716E-02 
333	 3.64431353041534E-02 
334	 3.74626522381736E-02 
335	 4.21859272262386E-02 
336	 3.88448980764259E-02 
337	 3.80429839895201E-02 
338	 0.041659113794937 
339	 0.043345203536095 
340	 4.14978163547499E-02 
341	 3.62026922085326E-02 
342	 4.06773954410037E-02 
343	 4.92281826633371E-02 
344	 4.82707260798772E-02 
345	 0.044964761248322 
346	 4.23329257594592E-02 
347	 4.42068688580445E-02 
348	 0.045908977554784 
349	 0.044529416431698 
350	 4.37719736134529E-02 
351	 0.043176829123506 
352	 4.12055004173002E-02 
353	 3.95163010514419E-02 
354	 3.91456788464607E-02 
355	 4.25070654646393E-02 
356	 4.32863317096345E-02 
357	 0.038937000947004 
358	 4.11813265308879E-02 
359	 4.61197994484046E-02 
360	 4.60255762290186E-02 
361	 4.31830425132445E-02 
362	 3.99972531192572E-02 
363	 4.25146395729272E-02 
364	 4.41374815510007E-02 
365	 4.20206355643693E-02 
366	 4.24735061268033E-02 
367	 4.34095441340978E-02 
368	 4.12313493426527E-02 
369	 4.08721427597919E-02 
370	 4.23072089382028E-02 
371	 4.13971536893364E-02 
372	 4.07855026111568E-02 
373	 4.18246898473916E-02 
374	 4.34328293504454E-02 
375	 4.44511388597513E-02 
376	 4.35735993382091E-02 
377	 4.28318734929899E-02 
378	 4.25356089650081E-02 
379	 4.18150474128645E-02 
380	 4.14349342767694E-02 
381	 4.17661396965307E-02 
382	 4.27375746237697E-02 
383	 4.29256388960877E-02 
384	 0.040580596023128 
385	 4.18874062446483E-02 
386	 4.56832862574459E-02 
387	 4.40216975730189E-02 
388	 4.20683462050613E-02 
389	 4.19078083324854E-02 
390	 4.09713665750922E-02 
391	 4.06698357394201E-02 
392	 0.042751264359363 
393	 0.043124072546426 
394	 4.19385425799923E-02 
395	 0.042387161902855 
396	 4.22944857736578E-02 
397	 4.11943987580305E-02 
398	 4.17559460038569E-02 
399	 4.18205204144738E-02 
400	 3.92163201080432E-02 
401	 0.039508406388221 
402	 4.19123073073776E-02 
403	 4.22034297157513E-02 
404	 4.17489702446098E-02 
405	 0.041231305856112 
406	 4.13806166932141E-02 
407	 0.041830841155762 
408	 4.20320161449314E-02 
409	 4.21709974691583E-02 
410	 4.20886650896541E-02 
411	 4.10854403806197E-02 
412	 4.08851572916834E-02 
413	 4.20139184088172E-02 
414	 4.22740932167832E-02 
415	 4.18721547799697E-02 
416	 4.13686057847557E-02 
417	 0.041204985354999 
418	 4.14844837384959E-02 
419	 0.042181690982348 
420	 4.24033131720633E-02 
421	 0.041862300399851 
422	 4.23361712758105E-02 
423	 0.043074444417817 
424	 4.27147791003592E-02 
425	 0.042447061422028 
426	 4.26018334181883E-02 
427	 4.32699878724966E-02 
428	 4.36510689580908E-02 
429	 4.32841888278263E-02 
430	 4.30418462757104E-02 
431	 4.29409182352399E-02 
432	 4.27961390228158E-02 
433	 0.04268780199049 
434	 0.042629031240476 
435	 4.26051846134631E-02 
436	 0.04254875262552 
437	 4.24646298046352E-02 
438	 4.28759338332792E-02 
439	 4.33611671322602E-02 
440	 4.29970510031424E-02 
441	 4.29113640337904E-02 
442	 4.32892796657061E-02 
443	 4.34016203464999E-02 
444	 4.32952119992885E-02 
445	 4.30782927400491E-02 
446	 4.33498981973547E-02 
447	 4.38228681086113E-02 
448	 4.36011861560083E-02 
449	 4.35955229964052E-02 
450	 0.043990733279851 
451	 4.41064290704647E-02 
452	 4.41127990243199E-02 
453	 4.42093519340568E-02 
454	 4.42039335390469E-02 
455	 4.42171185487948E-02 
456	 4.47129559043971E-02 
457	 4.49288854342874E-02 
458	 4.46875101885612E-02 
459	 4.50659306744296E-02 
460	 4.52555322798465E-02 
461	 4.42523944405238E-02 
462	 4.40752021018368E-02 
463	 4.46773397236552E-02 
464	 4.43514469322859E-02 
465	 4.42414278085301E-02 
466	 4.48164411067247E-02 
467	 4.51114962993749E-02 
468	 4.49906028836447E-02 
469	 4.44269400281787E-02 
470	 4.42990920753856E-02 
471	 4.47264726891844E-02 
472	 4.52300878498757E-02 
473	 4.54379490734864E-02 
474	 4.51383362815984E-02 
475	 4.46846951421638E-02 
476	 4.44708308398413E-02 
477	 4.51028834240821E-02 
478	 4.51997228136472E-02 
479	 4.46244400880071E-02 
480	 4.46614824823752E-02 
