Wavelength	AVEI200419.asd
325	 3.45036725882496E-02 
326	 3.03557410894571E-02 
327	 2.87417836784069E-02 
328	 3.10359501464771E-02 
329	 0.028759602616842 
330	 0.022437441152187 
331	 3.20796229266602E-02 
332	 4.11362152787334E-02 
333	 3.39681893396165E-02 
334	 3.22292670301738E-02 
335	 3.50982570123992E-02 
336	 3.13243754006564E-02 
337	 2.91892262723593E-02 
338	 3.05990119560726E-02 
339	 3.14536931612985E-02 
340	 3.36829905380333E-02 
341	 3.84314875678488E-02 
342	 3.97588075311526E-02 
343	 3.81218674340439E-02 
344	 3.61797163876934E-02 
345	 0.033467583228128 
346	 3.08221012228867E-02 
347	 3.09465353697988E-02 
348	 0.031554654469885 
349	 3.10635473931043E-02 
350	 3.03245506397662E-02 
351	 2.99295218782647E-02 
352	 3.06274422033241E-02 
353	 3.13412187537071E-02 
354	 3.18662659782915E-02 
355	 0.032891040764282 
356	 0.032479775503263 
357	 3.01108742744871E-02 
358	 3.14168677796542E-02 
359	 3.37515324526033E-02 
360	 3.21315184705734E-02 
361	 3.16768326722328E-02 
362	 3.27015544356568E-02 
363	 3.17585955168162E-02 
364	 3.12960264504025E-02 
365	 3.22057105196437E-02 
366	 3.08005168228462E-02 
367	 0.029305140101011 
368	 3.11440659966186E-02 
369	 3.26526624624265E-02 
370	 3.29752990167607E-02 
371	 3.23655358815417E-02 
372	 3.16440230181093E-02 
373	 3.13583946087486E-02 
374	 3.16890876229731E-02 
375	 3.18787695001875E-02 
376	 3.08939044292808E-02 
377	 3.11607531643865E-02 
378	 3.23628715672313E-02 
379	 3.13043385002941E-02 
380	 3.09858853732149E-02 
381	 3.24917173774068E-02 
382	 3.23967814517374E-02 
383	 3.10773880314715E-02 
384	 2.94673795512151E-02 
385	 2.92646635019385E-02 
386	 3.02316933318536E-02 
387	 3.00715627618244E-02 
388	 2.95161631223158E-02 
389	 2.91945181892588E-02 
390	 3.08371489972538E-02 
391	 3.22593080269043E-02 
392	 3.08717034491118E-02 
393	 3.02331423788911E-02 
394	 3.06404128691353E-02 
395	 3.04900859294849E-02 
396	 3.09683873266207E-02 
397	 3.21035154926531E-02 
398	 3.13466189840837E-02 
399	 3.00911271010556E-02 
400	 2.99373009451135E-02 
401	 2.97586891280286E-02 
402	 0.02960245968179 
403	 3.01148654721833E-02 
404	 3.06341917457791E-02 
405	 0.030846510890565 
406	 3.06137737159663E-02 
407	 0.030487732635728 
408	 3.11334183940887E-02 
409	 3.10366453722858E-02 
410	 3.03162538256914E-02 
411	 3.03851107041544E-02 
412	 3.03277957889774E-02 
413	 2.97737674925897E-02 
414	 2.91554748319517E-02 
415	 0.029033587599012 
416	 3.00479088744902E-02 
417	 3.03393495250435E-02 
418	 0.029817459867209 
419	 2.96321301250071E-02 
420	 2.98845667584184E-02 
421	 3.04943545742151E-02 
422	 3.03461534482006E-02 
423	 2.99457279205027E-02 
424	 3.02180939902994E-02 
425	 3.03912949913533E-02 
426	 0.03032924726658 
427	 3.02271377899273E-02 
428	 3.03290604341203E-02 
429	 0.030721569487061 
430	 3.07219651238048E-02 
431	 3.05558806029457E-02 
432	 3.07718034153892E-02 
433	 3.07611752868566E-02 
434	 3.04437277945296E-02 
435	 3.00724430081531E-02 
436	 3.00365672830724E-02 
437	 3.05202850942811E-02 
438	 3.07773651935292E-02 
439	 3.08084838259555E-02 
440	 3.08243655481504E-02 
441	 3.09072406950265E-02 
442	 3.10922954224557E-02 
443	 3.13689599460504E-02 
444	 3.15760205819812E-02 
445	 3.15839755655887E-02 
446	 3.14309212655652E-02 
447	 0.031223364442794 
448	 3.11347639810149E-02 
449	 3.12610969772442E-02 
450	 3.15703234304293E-02 
451	 3.17175958962452E-02 
452	 3.17711391223197E-02 
453	 3.18151846794213E-02 
454	 3.16779850591036E-02 
455	 0.031534931551324 
456	 3.19553005048286E-02 
457	 3.23084294340913E-02 
458	 3.23525358923852E-02 
459	 3.24039107523077E-02 
460	 3.24564818542434E-02 
461	 3.24748709112254E-02 
462	 3.25036803441104E-02 
463	 3.25656050521437E-02 
464	 0.032659435932065 
465	 3.29651185905844E-02 
466	 3.34229145468805E-02 
467	 3.28917626823413E-02 
468	 3.22770656907748E-02 
469	 3.30763948955419E-02 
470	 3.35417851232906E-02 
471	 3.34277013505347E-02 
472	 3.36518662675327E-02 
473	 3.38041867482626E-02 
474	 3.36559886557302E-02 
475	 3.36094147316857E-02 
476	 3.35507209922172E-02 
477	 3.31517854222458E-02 
478	 3.31154854395844E-02 
479	 3.35351948636639E-02 
480	 0.033897299799874 
481	 3.39885040038062E-02 
482	 3.37006676832981E-02 
483	 3.37995696221365E-02 
484	 3.40386226942234E-02 
485	 3.34196188546889E-02 
486	 3.32742716824345E-02 
487	 3.38790599878638E-02 
488	 0.033820304368186 
489	 3.37838845922814E-02 
490	 3.45083492871207E-02 
491	 0.034817986953682 
492	 3.46555810966572E-02 
493	 3.45114541016942E-02 
494	 0.034341866876546 
495	 3.42175653831828E-02 
496	 0.034485427847408 
497	 3.49231533417022E-02 
498	 3.52070173693448E-02 
499	 3.52562637867337E-02 
500	 3.51759679251703E-02 
501	 3.53722955548393E-02 
502	 3.57844403107421E-02 
503	 0.036336013591876 
504	 3.68162364763743E-02 
505	 0.037069868574035 
506	 3.68748515576169E-02 
507	 3.71272104257921E-02 
508	 3.78547215480271E-02 
509	 3.80099514919897E-02 
510	 3.80626971977918E-02 
511	 3.84001495804537E-02 
512	 3.87730815053349E-02 
513	 3.90510887366032E-02 
514	 3.89687455473014E-02 
515	 3.91738594114923E-02 
516	 3.98197416707443E-02 
517	 4.03032035202848E-02 
518	 4.05890481018779E-02 
519	 4.07090469824883E-02 
520	 4.11985070245811E-02 
521	 4.18707504939179E-02 
522	 4.19096605963374E-02 
523	 4.19769231926263E-02 
524	 4.23445456079142E-02 
525	 4.26010924291996E-02 
526	 4.29237257133437E-02 
527	 0.043606521306426 
528	 4.44544561507246E-02 
529	 4.51888274230961E-02 
530	 4.51624021340153E-02 
531	 4.48976102947606E-02 
532	 4.48263208483149E-02 
533	 4.54471181511285E-02 
534	 4.62792959347767E-02 
535	 4.62469926119819E-02 
536	 4.61024493580235E-02 
537	 4.61486085513302E-02 
538	 4.66016907452047E-02 
539	 4.71013439685262E-02 
540	 4.72907263835016E-02 
541	 4.73917478973659E-02 
542	 4.75161555570045E-02 
543	 4.78577252717839E-02 
544	 4.80981733070597E-02 
545	 4.81668187765389E-02 
546	 4.85667548798263E-02 
547	 4.89184016616646E-02 
548	 4.86770293442101E-02 
549	 4.86375908287763E-02 
550	 0.04893492157185 
551	 4.92835513865434E-02 
552	 4.96164681574753E-02 
553	 4.98819696135364E-02 
554	 5.01177885049346E-02 
555	 5.03211841529815E-02 
556	 5.04765991017638E-02 
557	 0.050647943886728 
558	 5.08129165084924E-02 
559	 5.07480439362097E-02 
560	 5.07450668106505E-02 
561	 5.10502527700212E-02 
562	 5.11333450470673E-02 
563	 5.10023787078388E-02 
564	 5.09384615097044E-02 
565	 5.09280468811879E-02 
566	 5.09447828018084E-02 
567	 5.07642875269682E-02 
568	 5.05908202479638E-02 
569	 5.07091041881143E-02 
570	 0.051131176397093 
571	 5.16583101582717E-02 
572	 5.16832259979692E-02 
573	 5.14859278180485E-02 
574	 5.12978333363534E-02 
575	 5.15206040008621E-02 
576	 5.18096276942326E-02 
577	 5.14337520012913E-02 
578	 5.09083034640749E-02 
579	 5.05669233326949E-02 
580	 5.10455459435602E-02 
581	 5.15703925243565E-02 
582	 5.14601956642572E-02 
583	 5.12588367722197E-02 
584	 5.12034278865545E-02 
585	 5.16949867346639E-02 
586	 5.19301764774987E-02 
587	 5.16472362300059E-02 
588	 0.051539513368146 
589	 5.15656215300585E-02 
590	 5.15836948088099E-02 
591	 5.17015366021053E-02 
592	 5.19211729169446E-02 
593	 5.21730073774961E-02 
594	 5.25505470835763E-02 
595	 5.29973970121517E-02 
596	 5.26674036413762E-02 
597	 5.19788392334066E-02 
598	 5.18134377591313E-02 
599	 5.20147276581465E-02 
600	 5.24241615370405E-02 
601	 5.24698860929523E-02 
