Wavelength	AVE00011.asd
325	 6.08714659232472E-02 
326	 6.64296606346136E-02 
327	 7.00040696544445E-02 
328	 6.44163532877809E-02 
329	 6.21079004547997E-02 
330	 6.63224308329572E-02 
331	 6.65868944945794E-02 
332	 6.62761709290075E-02 
333	 6.90488109753288E-02 
334	 7.01107899100474E-02 
335	 6.93264937831775E-02 
336	 0.068647166179918 
337	 6.68871990556455E-02 
338	 6.41282689224842E-02 
339	 6.17747688944177E-02 
340	 6.01503575200363E-02 
341	 5.94232551002382E-02 
342	 5.93384726577297E-02 
343	 5.88372350311123E-02 
344	 5.57385900509885E-02 
345	 5.59537009588114E-02 
346	 5.96609447800827E-02 
347	 6.14408131859231E-02 
348	 6.22683537000155E-02 
349	 6.26556741247111E-02 
350	 5.99885920291946E-02 
351	 5.71213949362514E-02 
352	 5.85987368875314E-02 
353	 6.10862129080594E-02 
354	 6.28874382758895E-02 
355	 0.061514294283925 
356	 5.93533767746696E-02 
357	 0.058289978981592 
358	 6.00743454128333E-02 
359	 6.27972611615355E-02 
360	 6.33811211630306E-02 
361	 6.17860313625092E-02 
362	 5.91848489738068E-02 
363	 5.91226658337757E-02 
364	 5.96171664659385E-02 
365	 5.95840081078085E-02 
366	 5.91976608922564E-02 
367	 5.95393154305668E-02 
368	 0.06201369149251 
369	 6.37793799935062E-02 
370	 6.40138963448434E-02 
371	 0.062438425368934 
372	 6.11149603075476E-02 
373	 6.13410761998356E-02 
374	 6.29767537040173E-02 
375	 6.38454653846452E-02 
376	 6.11910509504158E-02 
377	 6.05424587028143E-02 
378	 6.21981583321732E-02 
379	 0.062774404653041 
380	 6.27043518777714E-02 
381	 6.22523324247601E-02 
382	 6.22825085654844E-02 
383	 6.21694885147332E-02 
384	 6.09973975192568E-02 
385	 6.12289214986331E-02 
386	 6.22948766694893E-02 
387	 6.06417845990954E-02 
388	 6.01634470786554E-02 
389	 6.18715148714536E-02 
390	 6.09690376478293E-02 
391	 5.99896664787723E-02 
392	 6.22499151694628E-02 
393	 6.30999860461182E-02 
394	 6.23319185601033E-02 
395	 6.26439261497201E-02 
396	 6.14952865957204E-02 
397	 5.86637534465352E-02 
398	 5.80407940737968E-02 
399	 5.84033367528062E-02 
400	 5.82371547393331E-02 
401	 5.84617946314353E-02 
402	 5.90454670434061E-02 
403	 5.96483152365234E-02 
404	 6.00783547789909E-02 
405	 0.060342735027755 
406	 6.12237065814701E-02 
407	 6.17856246122943E-02 
408	 6.08632932350628E-02 
409	 5.95543387083042E-02 
410	 5.86041302188629E-02 
411	 5.93367035650054E-02 
412	 5.96267478575364E-02 
413	 5.87517445955148E-02 
414	 5.91040000592254E-02 
415	 5.97963285488196E-02 
416	 5.94143746936689E-02 
417	 5.96571423021378E-02 
418	 6.04511001238636E-02 
419	 6.03223043307674E-02 
420	 6.02264500035973E-02 
421	 6.05719317856864E-02 
422	 0.060341305486355 
423	 6.00013392775499E-02 
424	 6.03734431222115E-02 
425	 6.06339948872361E-02 
426	 6.07599696672852E-02 
427	 6.15772820720486E-02 
428	 6.18675415253068E-02 
429	 6.10007178334867E-02 
430	 6.07765128048556E-02 
431	 6.09403424919944E-02 
432	 0.060655354232493 
433	 6.04048759708322E-02 
434	 6.02622407824983E-02 
435	 5.99970802078279E-02 
436	 0.059965372725679 
437	 6.03578542067384E-02 
438	 6.05499665209501E-02 
439	 6.07495597428953E-02 
440	 6.16006468692438E-02 
441	 0.06163168279978 
442	 6.07758941067128E-02 
443	 6.05844261593601E-02 
444	 6.11867116377827E-02 
445	 0.062475454748032 
446	 6.25609623135555E-02 
447	 0.061706367554576 
448	 6.11527729137412E-02 
449	 6.11833602246954E-02 
450	 6.17838899288034E-02 
451	 6.20788711216938E-02 
452	 6.21099571038003E-02 
453	 6.19932155914419E-02 
454	 6.20814178544408E-02 
455	 6.22939730968025E-02 
456	 6.21392697599967E-02 
457	 6.22334806239137E-02 
458	 6.26989587647757E-02 
459	 6.26966754893525E-02 
460	 6.25455112746701E-02 
461	 6.26923100638237E-02 
462	 0.06239955687792 
463	 6.19357972181118E-02 
464	 6.26183205027324E-02 
465	 6.33465524631309E-02 
466	 6.34707168074034E-02 
467	 6.28623208364089E-02 
468	 6.21342885714342E-02 
469	 6.21809395935607E-02 
470	 6.24373223017842E-02 
471	 0.062617209554457 
472	 6.22332132237365E-02 
473	 6.20799205800781E-02 
474	 6.25736593331098E-02 
475	 0.06266443024284 
476	 6.25440116687358E-02 
477	 6.28238633451638E-02 
478	 6.28195336991485E-02 
479	 0.062426225262879 
480	 6.19825355973824E-02 
481	 6.18815656790408E-02 
482	 6.24191172262723E-02 
483	 6.33323454908235E-02 
484	 0.064077552142565 
485	 6.34545358568876E-02 
486	 6.32431624133786E-02 
487	 6.38076289709222E-02 
488	 6.32845908074189E-02 
489	 6.24959968314377E-02 
490	 6.23752339121679E-02 
491	 0.06267692178739 
492	 6.31067374369167E-02 
493	 0.063009501708618 
494	 6.29098998781758E-02 
495	 6.30176603797118E-02 
496	 6.30910030308603E-02 
497	 6.32664394949407E-02 
498	 6.37449168212753E-02 
499	 6.37195196079779E-02 
500	 6.32547982823156E-02 
501	 6.31862876426732E-02 
502	 6.36584190078764E-02 
503	 6.46537381125973E-02 
504	 6.54162476516106E-02 
505	 6.57144489462922E-02 
506	 0.065345526110977 
507	 6.52760699612419E-02 
508	 6.57871470508025E-02 
509	 6.66950400394695E-02 
510	 6.73848782786286E-02 
511	 6.74464828525794E-02 
512	 6.79888871631335E-02 
513	 6.88954999576488E-02 
514	 6.94135349201722E-02 
515	 7.01523574745905E-02 
516	 7.11756899620201E-02 
517	 7.17330522360765E-02 
518	 7.19578576872422E-02 
519	 7.20797386367696E-02 
520	 7.24288957609087E-02 
521	 7.30093398526957E-02 
522	 0.073561447439072 
523	 7.43723217445134E-02 
524	 7.54614913680934E-02 
525	 7.59957410589946E-02 
526	 0.076535984022251 
527	 7.80125111519739E-02 
528	 7.83780938497836E-02 
529	 7.77308289900971E-02 
530	 7.82263196316368E-02 
531	 7.91578967606256E-02 
532	 0.079999598749249 
533	 8.04581223803882E-02 
534	 8.06628381807157E-02 
535	 8.09829392499317E-02 
536	 8.13041469479893E-02 
537	 0.081634259572606 
538	 8.20599519827773E-02 
539	 8.26313760463854E-02 
540	 0.083345658389339 
541	 8.34235544487663E-02 
542	 8.31053541598126E-02 
543	 8.34311443486871E-02 
544	 8.38267884792191E-02 
545	 8.40523284237367E-02 
546	 8.40872986941755E-02 
547	 8.42256301571179E-02 
548	 8.48452629076635E-02 
549	 8.52362418974809E-02 
550	 8.53834695026404E-02 
551	 8.59116617110976E-02 
552	 8.63683449738595E-02 
553	 8.65155806798445E-02 
554	 8.69717802279045E-02 
555	 8.74362551379283E-02 
556	 8.71847087407452E-02 
557	 8.69897484564273E-02 
558	 8.71025476962907E-02 
559	 8.74469561652792E-02 
560	 8.75824496013011E-02 
561	 8.71471616565364E-02 
562	 8.67767761242655E-02 
563	 8.66655648353294E-02 
564	 8.70255833379315E-02 
565	 0.087079998153838 
566	 8.66150716645009E-02 
567	 8.66538615742637E-02 
568	 8.66289329144802E-02 
569	 8.57164536878191E-02 
570	 8.49167078600857E-02 
571	 8.45614118862913E-02 
572	 8.48234684963593E-02 
573	 8.49610463270532E-02 
574	 8.45536790332415E-02 
575	 8.42928384490177E-02 
576	 8.41936665078903E-02 
577	 8.41148979798559E-02 
578	 8.39709885895146E-02 
579	 8.36917656189837E-02 
580	 8.31660255359782E-02 
581	 8.25968734111629E-02 
582	 8.21921303608103E-02 
583	 8.22223631535638E-02 
584	 8.25298107501169E-02 
585	 8.26274189474007E-02 
586	 8.25995516148307E-02 
587	 0.082426730001924 
588	 8.18762193989139E-02 
589	 8.15550337098005E-02 
590	 8.22484437783789E-02 
591	 8.18695907486599E-02 
592	 8.05756497327437E-02 
593	 8.05212670130093E-02 
594	 8.06902688108285E-02 
595	 8.05282873294078E-02 
596	 8.05336594504482E-02 
597	 8.06469970954556E-02 
598	 8.06751654375134E-02 
599	 0.080654022463426 
600	 8.05998923043597E-02 
601	 8.05921991798173E-02 
602	 8.04739512285816E-02 
603	 0.080133030917331 
604	 7.99588347160268E-02 
605	 7.99268056101859E-02 
606	 7.98104866711051E-02 
607	 7.95401715576479E-02 
608	 7.91533372234921E-02 
609	 7.91297319416717E-02 
610	 7.91193990549602E-02 
611	 0.078639823920399 
612	 7.86056326351182E-02 
613	 0.078882109624333 
614	 7.83185383887127E-02 
615	 7.74318946889584E-02 
616	 7.66439848990638E-02 
617	 7.65148506881831E-02 
618	 0.076773729475453 
619	 7.68053693405344E-02 
620	 0.076877430945935 
621	 7.69507566503194E-02 
622	 7.66351687237172E-02 
623	 7.62092977662557E-02 
624	 0.075956013243744 
625	 0.075991496600897 
626	 7.62204481317456E-02 
627	 7.63615775486353E-02 
628	 7.64132483231279E-02 
629	 7.63106111881501E-02 
630	 7.57563911956462E-02 
631	 7.53449747834543E-02 
632	 7.58110685119431E-02 
633	 0.07607425814504 
634	 7.60147172087685E-02 
635	 7.62926222532355E-02 
636	 7.60326886969583E-02 
637	 7.48901381989677E-02 
638	 7.45206407201511E-02 
639	 7.45829993601491E-02 
640	 7.40664301010444E-02 
641	 7.34733741506557E-02 
642	 0.073027242946051 
643	 7.30353355023549E-02 
644	 7.30175474334167E-02 
645	 7.25388297018359E-02 
646	 7.17395143348633E-02 
647	 7.09502087099682E-02 
648	 7.10031813243048E-02 
649	 7.07617574463686E-02 
650	 6.99553785092015E-02 
651	 6.98567704840357E-02 
652	 6.99471824768201E-02 
653	 6.94938901801666E-02 
654	 6.92226962309405E-02 
655	 6.91369505533254E-02 
656	 6.86470134493637E-02 
657	 6.82798899106272E-02 
658	 6.82738344998242E-02 
659	 6.78320580404187E-02 
660	 6.74142722221648E-02 
661	 6.79636346433846E-02 
662	 6.77576662027929E-02 
663	 6.66205282076654E-02 
664	 6.60344648814478E-02 
665	 6.58486081459549E-02 
666	 6.58509324267471E-02 
667	 0.065447709904544 
668	 6.49164203862516E-02 
669	 6.53038606170961E-02 
670	 6.52941936372606E-02 
671	 0.064569109910369 
672	 6.42689687248102E-02 
673	 0.064253109596262 
674	 6.42587295328357E-02 
675	 6.47934462250192E-02 
676	 6.55326405569675E-02 
677	 6.51337687457994E-02 
678	 6.50760527532943E-02 
679	 6.59759766741762E-02 
680	 6.60658884368595E-02 
681	 6.58158506062585E-02 
682	 6.62868414455755E-02 
683	 6.69296376136799E-02 
684	 0.0676487631449 
685	 0.068675562406206 
686	 6.98400768386676E-02 
687	 7.09777732817544E-02 
688	 7.22282736954857E-02 
689	 7.36462860652654E-02 
690	 7.54922965704523E-02 
691	 7.76100146034892E-02 
692	 7.99475645594137E-02 
693	 0.082282772931993 
694	 8.47048775602428E-02 
695	 8.72314988116046E-02 
696	 0.090137439406169 
697	 9.31820814332956E-02 
698	 9.56011331210061E-02 
699	 9.84681399563769E-02 
700	 0.102109200977084 
701	 0.105235594066531 
702	 0.107993336415867 
703	 0.11081322015565 
704	 0.113824229983347 
705	 0.116948860919442 
706	 0.119643697840804 
707	 0.122355997671985 
708	 0.125306418154103 
709	 0.12780196568175 
710	 0.129961605845227 
711	 0.13217579825644 
712	 0.134495141379945 
713	 0.136892423239089 
714	 0.139152002268633 
715	 0.141335458989822 
716	 0.143583231295778 
717	 0.14519370762918 
718	 0.146516451545723 
719	 0.149057031561648 
720	 0.150777320765359 
721	 0.151218884807572 
722	 0.152035853744656 
723	 0.153428990390659 
724	 0.155469368237947 
725	 0.156916062887293 
726	 0.157626106541823 
727	 0.158559253435911 
728	 0.159586371346984 
729	 0.160655720027767 
730	 0.161629648056243 
731	 0.162632653190809 
732	 0.163870079354345 
733	 0.16452007150765 
734	 0.164581713000377 
735	 0.164572612441396 
736	 0.164807513476608 
737	 0.165519691826084 
738	 0.166761847838237 
739	 0.167941933722453 
740	 0.167986728115202 
741	 0.168116477541775 
742	 0.16852083672646 
743	 0.168145290646126 
744	 0.16816144538877 
745	 0.169469408867508 
746	 0.17028691435296 
747	 0.170516093258813 
748	 0.170710845511847 
749	 0.170993742165831 
750	 0.17144688106804 
751	 0.172032978337357 
752	 0.172537578081326 
753	 0.172755291185493 
754	 0.173095335605273 
755	 0.173475236403524 
756	 0.173512885730638 
757	 0.172882611114812 
758	 0.171644313698827 
759	 0.171897332984725 
760	 0.174289528358735 
761	 0.177452234598638 
762	 0.178227227867978 
763	 0.17720849525329 
764	 0.177981967014372 
765	 0.178071984824956 
766	 0.177053264532279 
767	 0.177220299865934 
768	 0.177747475288172 
769	 0.177548724248646 
770	 0.17720445773533 
771	 0.176961997069382 
772	 0.177136676874541 
773	 0.177750633473787 
774	 0.178695635837685 
775	 0.179017211864918 
776	 0.178846586418262 
777	 0.178648386090878 
778	 0.179044806800194 
779	 0.179968171662684 
780	 0.18022115858137 
781	 0.180140069967068 
782	 0.180070477113929 
783	 0.180455792806871 
784	 0.180994904579017 
785	 0.180894947097149 
786	 0.180545762168503 
787	 0.180289948216219 
788	 0.181111620202753 
789	 0.181845926519226 
790	 0.181435750576454 
791	 0.181317161071502 
792	 0.181646354724909 
793	 0.182158777136772 
794	 0.182408584958254 
795	 0.182386103047723 
796	 0.183189532959276 
797	 0.183589417543651 
798	 0.182441813575401 
799	 0.18246085784704 
800	 0.18342228351972 
801	 0.183195587413861 
802	 0.183070564273727 
803	 0.183414842186355 
804	 0.183469807739811 
805	 0.183510202266887 
806	 0.183897223132273 
807	 0.185045258825296 
808	 0.186166541908403 
809	 0.184685356405438 
810	 0.183691297563374 
811	 0.184400643627897 
812	 0.184896303878403 
813	 0.185173629035903 
814	 0.185454834376092 
815	 0.187159967548129 
816	 0.18945389021595 
817	 0.188668631681972 
818	 0.187724436780987 
819	 0.187798405495316 
820	 0.187130872584619 
821	 0.187058264294445 
822	 0.189222854781469 
823	 0.191110838086091 
824	 0.191686466093466 
825	 0.190088796757391 
826	 0.189177237578414 
827	 0.190035575336087 
828	 0.191049765745218 
829	 0.191676608162136 
830	 0.191466110972203 
831	 0.191531577529649 
832	 0.192025577875354 
833	 0.192663527111629 
834	 0.192882452893655 
835	 0.192455021026251 
836	 0.191656299260342 
837	 0.191172712338403 
838	 0.191703894822064 
839	 0.19224009902182 
840	 0.192620862067108 
841	 0.193188207164114 
842	 0.193235276482235 
843	 0.192669149427643 
844	 0.19281956640924 
845	 0.193322586937515 
846	 0.193613821897894 
847	 0.193005669144689 
848	 0.192144455539807 
849	 0.193456400242276 
850	 0.193898072765979 
851	 0.1926277880357 
852	 0.192622561763528 
853	 0.193504609182041 
854	 0.194558784472519 
855	 0.195405919551767 
856	 0.195538679066139 
857	 0.193909818925764 
858	 0.193143807609433 
859	 0.193800656083621 
860	 0.193418838876213 
861	 0.193184760319006 
862	 0.194242519197938 
863	 0.194803508640693 
864	 0.194929809336563 
865	 0.195621524301961 
866	 0.195800666461361 
867	 0.195463221105439 
868	 0.196415079456113 
869	 0.197027657478131 
870	 0.196162106758002 
871	 0.196537307023117 
872	 0.197942566207235 
873	 0.199227213361649 
874	 0.199466594112293 
875	 0.198502638910268 
876	 0.196930368107743 
877	 0.196981854586983 
878	 0.199724975465937 
879	 0.2003424895949 
880	 0.199429925787593 
881	 0.199111238407693 
882	 0.1988757134892 
883	 0.198881758190617 
884	 0.200003446013871 
885	 0.200295557372408 
886	 0.199115472539791 
887	 0.200196826374966 
888	 0.202200781182492 
889	 0.202819003098207 
890	 0.203044262497903 
891	 0.202815481024958 
892	 0.201159821902886 
893	 0.200262504400208 
894	 0.201078833748749 
895	 0.201904981712932 
896	 0.202820044267495 
897	 0.204024593587568 
898	 0.204887858261363 
899	 0.205269464443253 
900	 0.205329384293361 
901	 0.204748835239305 
902	 0.204026546300259 
