Wavelength	AVEI200260.asd
325	 6.44116937791568E-02 
326	 6.24115482316478E-02 
327	 6.36543510712479E-02 
328	 6.73091254109244E-02 
329	 0.069510156024012 
330	 6.85940943606947E-02 
331	 6.39401998942305E-02 
332	 5.97266631218012E-02 
333	 5.99645208263246E-02 
334	 6.58959285407735E-02 
335	 7.22245599648979E-02 
336	 6.67353881532456E-02 
337	 6.30310343369383E-02 
338	 6.41965474356689E-02 
339	 6.22984717580883E-02 
340	 6.13058380182817E-02 
341	 6.44050035928205E-02 
342	 0.067009129508514 
343	 6.82872696669286E-02 
344	 6.82246425035403E-02 
345	 6.73227177157308E-02 
346	 6.62672139397092E-02 
347	 6.68748516607684E-02 
348	 6.66471853670442E-02 
349	 6.44484958133851E-02 
350	 6.60013750249586E-02 
351	 6.85135514658267E-02 
352	 6.64646041728255E-02 
353	 6.61153721219792E-02 
354	 6.78565004639831E-02 
355	 6.73512562640291E-02 
356	 6.60528850265114E-02 
357	 6.53010792542634E-02 
358	 6.80241991507073E-02 
359	 7.11927779301999E-02 
360	 6.98806629863777E-02 
361	 6.92299737783546E-02 
362	 6.99159970700505E-02 
363	 6.98545311168869E-02 
364	 6.86465325362279E-02 
365	 6.67477795162202E-02 
366	 6.85451919383991E-02 
367	 7.08383916049938E-02 
368	 6.89068274228738E-02 
369	 6.82588568957723E-02 
370	 6.94440451238818E-02 
371	 7.00419592055241E-02 
372	 6.95945350608697E-02 
373	 6.80595624054864E-02 
374	 0.067462633703365 
375	 6.71225861197855E-02 
376	 6.57955219904131E-02 
377	 6.70252315658357E-02 
378	 6.96085777978422E-02 
379	 6.68651347033665E-02 
380	 6.48574557325627E-02 
381	 6.65533653499271E-02 
382	 6.95675703186478E-02 
383	 7.14693562765677E-02 
384	 6.95344339176934E-02 
385	 6.79248454954247E-02 
386	 0.067477954437993 
387	 6.68495934679764E-02 
388	 6.76000372960373E-02 
389	 6.96014882328042E-02 
390	 6.80365050572527E-02 
391	 6.61102489072703E-02 
392	 6.78732457815581E-02 
393	 6.84378706488907E-02 
394	 6.74822090543902E-02 
395	 6.70910150477296E-02 
396	 6.70746285229643E-02 
397	 6.73440562019588E-02 
398	 6.78074805208226E-02 
399	 6.77495051125412E-02 
400	 6.65730117919374E-02 
401	 6.68646619893395E-02 
402	 6.82124835518702E-02 
403	 0.068518639077369 
404	 6.86291386806076E-02 
405	 6.88233583272907E-02 
406	 6.86447138076389E-02 
407	 6.85682526582382E-02 
408	 6.91895398428387E-02 
409	 6.86939070303438E-02 
410	 6.74917261139119E-02 
411	 6.79471357835306E-02 
412	 6.83159286677457E-02 
413	 6.80089362622602E-02 
414	 6.88697844660002E-02 
415	 7.00501554290658E-02 
416	 7.02805591773354E-02 
417	 6.99093370640238E-02 
418	 6.93716737651608E-02 
419	 6.97120839678072E-02 
420	 7.02398200169731E-02 
421	 7.05444929540806E-02 
422	 7.06339470588529E-02 
423	 7.05863663730928E-02 
424	 7.05235201367836E-02 
425	 7.03824971559308E-02 
426	 7.03194703235449E-02 
427	 7.09419867789752E-02 
428	 7.13693367554108E-02 
429	 7.11251852643506E-02 
430	 7.14137808815417E-02 
431	 7.18679281675242E-02 
432	 0.071609761133836 
433	 7.14220370673023E-02 
434	 7.15222877915109E-02 
435	 7.18963421397543E-02 
436	 7.20860687376379E-02 
437	 7.18779600566154E-02 
438	 7.22551101624014E-02 
439	 7.28707235872546E-02 
440	 7.28366285863774E-02 
441	 7.27517504602296E-02 
442	 7.28004601912738E-02 
443	 7.29107961830772E-02 
444	 0.07323286630173 
445	 7.38692411017397E-02 
446	 7.46410265052304E-02 
447	 7.52751428412745E-02 
448	 7.52885635251059E-02 
449	 7.50823969414518E-02 
450	 0.074907574801563 
451	 7.52057032447416E-02 
452	 7.54890918268152E-02 
453	 0.075280529402297 
454	 7.52443914410188E-02 
455	 7.54797076095861E-02 
456	 7.58894585456001E-02 
457	 7.62293165685619E-02 
458	 7.64076009031604E-02 
459	 7.66797071769617E-02 
460	 7.68767129778765E-02 
461	 7.67895288119738E-02 
462	 0.076947035398655 
463	 0.077416257027506 
464	 7.80957111022956E-02 
465	 7.83039721706128E-02 
466	 7.77757870609016E-02 
467	 7.74122910367612E-02 
468	 7.75344150235849E-02 
469	 7.84332326835139E-02 
470	 7.85490133918368E-02 
471	 7.78997179534665E-02 
472	 7.81824815293211E-02 
473	 7.84879831220107E-02 
474	 7.82895111046781E-02 
475	 0.07830258110385 
476	 7.84211968769707E-02 
477	 7.82549335957837E-02 
478	 0.078666566907336 
479	 7.95782239424606E-02 
480	 7.96435115679526E-02 
481	 7.93997072215202E-02 
482	 7.93275489476505E-02 
483	 7.93954874414644E-02 
484	 7.95469171711801E-02 
485	 0.079608676152482 
486	 7.97696990499861E-02 
487	 8.00873322551544E-02 
488	 8.05229257897154E-02 
489	 8.07908730972764E-02 
490	 8.06402711432883E-02 
491	 8.05084067909529E-02 
492	 8.05693676886459E-02 
493	 8.10536897722514E-02 
494	 8.13329978296288E-02 
495	 8.12381045129164E-02 
496	 8.16939848341241E-02 
497	 8.21464192541288E-02 
498	 8.17795411190327E-02 
499	 8.18414322250639E-02 
500	 8.24489283288847E-02 
501	 8.29273692962676E-02 
502	 8.31117635443857E-02 
503	 8.29656982854503E-02 
504	 8.31339798411034E-02 
505	 8.34613532924098E-02 
506	 8.35230188764374E-02 
507	 8.38128994516171E-02 
508	 8.43306954016403E-02 
509	 0.084555991501972 
510	 8.45448720803091E-02 
511	 8.44061349388401E-02 
512	 8.47235917527629E-02 
513	 8.52914717988644E-02 
514	 8.53796990281271E-02 
515	 8.55300811787466E-02 
516	 8.58913820502744E-02 
517	 8.62071147941686E-02 
518	 8.64419987174918E-02 
519	 8.65791223502185E-02 
520	 8.65684097990003E-02 
521	 8.65973944928042E-02 
522	 8.72226868164797E-02 
523	 8.75985710959153E-02 
