Wavelength	SHSI00388.asd
325	 6.27468685435422E-02 
326	 6.78886492883349E-02 
327	 7.64607079793605E-02 
328	 0.086386305556842 
329	 9.01102413273237E-02 
330	 8.58991044579797E-02 
331	 0.078421686780283 
332	 7.33633625974481E-02 
333	 7.51786205407057E-02 
334	 7.34494649349727E-02 
335	 6.92813666511465E-02 
336	 6.91384228210818E-02 
337	 7.13563363472938E-02 
338	 7.41280690900237E-02 
339	 7.21435527053583E-02 
340	 6.97591803292437E-02 
341	 7.04323588676447E-02 
342	 6.93297562662842E-02 
343	 6.77163149429606E-02 
344	 6.89224689519154E-02 
345	 7.26174684024066E-02 
346	 7.75780140295983E-02 
347	 0.080890021874167 
348	 7.99965703077836E-02 
349	 7.42680529229382E-02 
350	 7.13562456357564E-02 
351	 7.12984103983208E-02 
352	 7.24250128518335E-02 
353	 7.23398401747911E-02 
354	 7.15228933401547E-02 
355	 7.44295513486333E-02 
356	 7.72679912564445E-02 
357	 7.75532460165771E-02 
358	 7.46304034573284E-02 
359	 7.14953645488715E-02 
360	 7.25459503478803E-02 
361	 7.21987773219204E-02 
362	 7.02660525000854E-02 
363	 7.07482092491582E-02 
364	 7.16688498758145E-02 
365	 7.19275149147443E-02 
366	 7.19538096148455E-02 
367	 7.14194094408837E-02 
368	 0.06983335517339 
369	 7.04599786585771E-02 
370	 7.25736164770228E-02 
371	 7.10133645216855E-02 
372	 7.03749877856885E-02 
373	 7.25658026738748E-02 
374	 7.26160545314433E-02 
375	 7.11701224858111E-02 
376	 0.069854918918031 
377	 6.83301110816552E-02 
378	 6.73708758974711E-02 
379	 6.95567237032369E-02 
380	 7.06513569894086E-02 
381	 6.91263231494098E-02 
382	 7.03899521802429E-02 
383	 7.18620147313365E-02 
384	 6.95961879274226E-02 
385	 6.95770062605744E-02 
386	 7.18427031231375E-02 
387	 7.20911023030555E-02 
388	 7.13659570134434E-02 
389	 7.03605794767638E-02 
390	 7.03887284839128E-02 
391	 7.04002481153876E-02 
392	 6.90870525687882E-02 
393	 6.89141170775217E-02 
394	 0.069963991835582 
395	 7.12862077086993E-02 
396	 7.06386919031964E-02 
397	 6.77971410877375E-02 
398	 6.69554715193214E-02 
399	 6.69216754405804E-02 
400	 6.61089369121121E-02 
401	 6.65028405973652E-02 
402	 6.76930832722064E-02 
403	 6.80898828377238E-02 
404	 0.06775956284153 
405	 0.066990560046549 
406	 6.73435013985306E-02 
407	 6.84580157686253E-02 
408	 6.96832193850717E-02 
409	 6.97552049729123E-02 
410	 6.87966720338453E-02 
411	 6.79632716598563E-02 
412	 6.75071235503577E-02 
413	 6.76171812244237E-02 
414	 6.85276625208993E-02 
415	 6.92707834945355E-02 
416	 6.86483464139706E-02 
417	 6.83110058883496E-02 
418	 6.85654510409421E-02 
419	 6.91210265248534E-02 
420	 6.93244270840537E-02 
421	 6.89679519308484E-02 
422	 0.06941736873801 
423	 0.070012385623851 
424	 6.95946219496962E-02 
425	 6.92953330079284E-02 
426	 0.069395678865327 
427	 6.97950753918158E-02 
428	 7.01691042519061E-02 
429	 7.02845727603251E-02 
430	 7.01827484699876E-02 
431	 7.00684770863877E-02 
432	 7.02750307611744E-02 
433	 7.01920175123392E-02 
434	 6.98500628842321E-02 
435	 6.99172340753962E-02 
436	 7.01775263210585E-02 
437	 7.04355477967769E-02 
438	 7.03382403392711E-02 
439	 7.01145646508621E-02 
440	 7.02765828128752E-02 
441	 7.04800402787157E-02 
442	 7.06170938244968E-02 
443	 7.06937748301524E-02 
444	 7.07261791917884E-02 
445	 7.07579945381668E-02 
446	 7.11503797417567E-02 
447	 7.16340526604382E-02 
448	 7.14760707570951E-02 
449	 7.13718063644955E-02 
450	 7.15472328023056E-02 
451	 7.18507713160596E-02 
452	 7.21642991843754E-02 
453	 7.23713049668248E-02 
454	 0.072352461722852 
455	 7.22790506762369E-02 
456	 7.27373408404461E-02 
457	 7.28215724910174E-02 
458	 7.23853330647836E-02 
459	 7.29302864711714E-02 
460	 7.35974180427537E-02 
461	 7.32619001004599E-02 
462	 7.31324795984634E-02 
463	 7.32987971027306E-02 
464	 7.31029820632043E-02 
465	 7.31736687890266E-02 
466	 7.37062868031883E-02 
467	 7.36671399332048E-02 
468	 7.34041714867502E-02 
469	 7.35978034106153E-02 
470	 7.34538718043485E-02 
471	 7.30381702429543E-02 
472	 7.32894385927375E-02 
473	 7.35434894590104E-02 
474	 7.34416904607637E-02 
475	 7.37329547250419E-02 
476	 0.074274132544478 
477	 7.46967725943412E-02 
478	 7.45046294167242E-02 
479	 7.39070550266455E-02 
480	 7.44382973143728E-02 
481	 7.50059380400133E-02 
482	 7.47430887625946E-02 
483	 7.46141270442236E-02 
484	 7.47159154005666E-02 
485	 7.48929374493504E-02 
486	 7.50133890849106E-02 
487	 7.50589743895424E-02 
488	 7.53570689251517E-02 
489	 7.54004629345971E-02 
490	 7.47327964775691E-02 
491	 7.46666421197508E-02 
492	 7.51093519483753E-02 
493	 7.50682850450727E-02 
494	 7.50993769458172E-02 
495	 7.53838824140028E-02 
496	 0.075545031277714 
497	 7.57323466520872E-02 
498	 7.61820794264521E-02 
499	 7.62248067398871E-02 
500	 7.59452724180195E-02 
501	 7.62047221846372E-02 
502	 7.65152543365215E-02 
503	 7.66289772820509E-02 
504	 7.70707030065002E-02 
505	 7.76083133472206E-02 
506	 7.77813998141909E-02 
507	 7.77189559799305E-02 
508	 7.76191322060112E-02 
509	 7.80622823273587E-02 
510	 7.86860501549058E-02 
511	 7.91883696193437E-02 
512	 7.97274306451851E-02 
513	 8.02846853190803E-02 
514	 8.07878372957695E-02 
515	 8.12271766041826E-02 
516	 8.15994821082595E-02 
517	 8.19485181004561E-02 
518	 8.22189936277993E-02 
519	 8.23626557177468E-02 
520	 8.27398271568817E-02 
521	 8.33208481682002E-02 
522	 8.38400055820258E-02 
523	 8.43160657685247E-02 
524	 8.47573420583383E-02 
525	 8.52359867636517E-02 
526	 8.56362547411908E-02 
527	 0.085781448095912 
528	 8.59427906759725E-02 
529	 8.62465623665642E-02 
530	 8.68257724495899E-02 
531	 8.74889602067962E-02 
532	 8.80807869914644E-02 
533	 8.84233489871581E-02 
534	 8.86416769439425E-02 
535	 0.089040924741129 
536	 8.93705636931439E-02 
537	 8.95971189025088E-02 
538	 8.99449892706388E-02 
539	 9.02108145362527E-02 
540	 9.02191227051868E-02 
541	 9.05838816380996E-02 
542	 9.12240206384551E-02 
543	 9.16563077963802E-02 
544	 9.17640234978903E-02 
545	 9.16032709941409E-02 
546	 9.19007712049323E-02 
547	 9.23980952463696E-02 
548	 9.26669439624254E-02 
549	 9.30690177737136E-02 
550	 9.35037908641929E-02 
551	 9.33275864011074E-02 
552	 9.33058896444759E-02 
553	 9.38749549180656E-02 
554	 9.43239747624267E-02 
555	 9.45716098792045E-02 
556	 0.094675652945524 
557	 9.46350814506629E-02 
558	 9.45007949336085E-02 
559	 9.44214267293864E-02 
560	 0.094454589792215 
561	 9.46454882152646E-02 
562	 9.50479325403088E-02 
563	 9.54329265602881E-02 
564	 9.51954360887942E-02 
565	 9.50221798880801E-02 
566	 9.51437496597677E-02 
567	 9.50563090513668E-02 
568	 9.49292640608397E-02 
569	 9.50286325436662E-02 
570	 9.50977927741745E-02 
571	 9.50642267675853E-02 
572	 9.48900990747455E-02 
573	 9.48470144469275E-02 
574	 9.50535215712359E-02 
575	 9.50143637839075E-02 
576	 9.47977727518087E-02 
577	 9.46632414015406E-02 
578	 0.094447261615598 
579	 9.41654519955294E-02 
580	 9.40232837455739E-02 
581	 9.40642935539776E-02 
582	 9.42871264846969E-02 
583	 9.42743333861389E-02 
584	 9.40990711817488E-02 
585	 9.41963567489393E-02 
586	 9.41108541971303E-02 
587	 9.37868396956949E-02 
588	 9.40286176061398E-02 
589	 9.44886231449282E-02 
590	 9.46079186178295E-02 
591	 9.43672762158773E-02 
592	 9.38969545529497E-02 
593	 9.35958376856076E-02 
594	 9.34081958079093E-02 
595	 9.33226286973598E-02 
596	 9.34587925184896E-02 
597	 0.093611607070208 
598	 9.33860049369071E-02 
599	 9.34576720478433E-02 
600	 0.093891462263868 
601	 9.40512248535523E-02 
602	 9.39154986062872E-02 
603	 9.35226630773866E-02 
604	 9.32650582202733E-02 
605	 9.32420107332719E-02 
606	 9.35232997150915E-02 
607	 9.36497230967621E-02 
608	 9.34385168119116E-02 
609	 0.09314128228215 
610	 9.29162054731451E-02 
611	 9.29235152202021E-02 
612	 9.25966529012751E-02 
613	 9.20655804613765E-02 
614	 9.22619816288345E-02 
615	 9.23866554575345E-02 
616	 9.20181163312564E-02 
617	 9.20133933328251E-02 
618	 0.092109365762763 
619	 9.16115073627352E-02 
620	 9.16753849937417E-02 
621	 9.23204936026789E-02 
622	 9.20692451308244E-02 
623	 9.16167021651934E-02 
624	 9.16227805792767E-02 
625	 9.17158090868428E-02 
626	 9.17409670831767E-02 
627	 9.14501750572462E-02 
628	 9.12170192585765E-02 
629	 9.11995191802992E-02 
630	 9.12884665310576E-02 
631	 9.14640259006206E-02 
632	 9.17090746083505E-02 
633	 9.18068669328384E-02 
634	 9.16503209216319E-02 
635	 9.10225097557369E-02 
636	 9.07337541743815E-02 
637	 9.11856972761409E-02 
638	 9.13511665508175E-02 
639	 9.12229681730001E-02 
640	 9.10417775178736E-02 
641	 9.09115526056108E-02 
642	 9.08613066189791E-02 
643	 9.08460026087259E-02 
644	 9.05169910228958E-02 
645	 8.96564395565824E-02 
646	 0.089654031770708 
647	 0.090163395709317 
648	 8.95558582830047E-02 
649	 8.89656007534377E-02 
650	 8.88193445485463E-02 
651	 8.88413487723838E-02 
652	 0.088827582257373 
653	 8.85655870218418E-02 
654	 8.85631648801079E-02 
655	 8.87546186227956E-02 
656	 8.85559875195164E-02 
657	 8.78656326030967E-02 
658	 8.68136733659955E-02 
659	 8.63684020620968E-02 
660	 8.62627961397393E-02 
661	 8.59120204966719E-02 
662	 8.55180447735616E-02 
663	 8.50700278831357E-02 
664	 8.43138009548848E-02 
665	 8.37369795982932E-02 
666	 8.37083284925937E-02 
667	 0.083521513714395 
668	 8.30987784795771E-02 
669	 8.25435831069715E-02 
670	 8.21369887690364E-02 
671	 8.19808025468293E-02 
672	 8.18770394016484E-02 
673	 8.17938662625362E-02 
674	 8.17155143319497E-02 
675	 8.17427393594915E-02 
