Wavelength	A00004.asd
325	 0.03439619054288 
326	 3.95018975774212E-02 
327	 0.042335880793996 
328	 5.01863123413031E-02 
329	 5.05640077226612E-02 
330	 0.042150627009518 
331	 4.29677749711692E-02 
332	 4.55281009020874E-02 
333	 4.19640832727881E-02 
334	 4.13511375043866E-02 
335	 4.20463975717159E-02 
336	 3.58526180109754E-02 
337	 3.57479324948337E-02 
338	 4.29708308076633E-02 
339	 4.37396406481693E-02 
340	 4.15143593816097E-02 
341	 0.03985671251864 
342	 3.96174586969595E-02 
343	 3.96829836364744E-02 
344	 3.73542024933864E-02 
345	 3.68393123361257E-02 
346	 0.038624720137131 
347	 4.01740311573243E-02 
348	 4.09406216348364E-02 
349	 4.06586567664426E-02 
350	 4.01396446432868E-02 
351	 3.90347658738529E-02 
352	 3.63839912808516E-02 
353	 3.64304592643211E-02 
354	 3.86991591929833E-02 
355	 3.74139061193945E-02 
356	 3.65989490625766E-02 
357	 3.83763484702289E-02 
358	 3.89577745134468E-02 
359	 3.91312224403183E-02 
360	 4.07928935087793E-02 
361	 4.00502732768428E-02 
362	 3.75772805667799E-02 
363	 3.87588230342821E-02 
364	 0.039996424899039 
365	 3.93617861189301E-02 
366	 3.76506445871769E-02 
367	 3.66256777116846E-02 
368	 3.84697366389269E-02 
369	 3.84335814335368E-02 
370	 3.68073674078785E-02 
371	 0.038578529443046 
372	 3.93873996420179E-02 
373	 3.75602557514792E-02 
374	 3.86095964324909E-02 
375	 4.04375346144995E-02 
376	 3.95109293043368E-02 
377	 3.74344057116679E-02 
378	 3.54868099479085E-02 
379	 3.64368176035248E-02 
380	 3.73341373256577E-02 
381	 3.69141242377005E-02 
382	 3.76495658561831E-02 
383	 3.87546935169656E-02 
384	 3.89599129328844E-02 
385	 0.037772889260193 
386	 3.65534275189655E-02 
387	 3.99101215528516E-02 
388	 4.17606451619156E-02 
389	 3.97998554909878E-02 
390	 3.82607060957514E-02 
391	 3.73102119795456E-02 
392	 3.66427845443429E-02 
393	 3.72640616624756E-02 
394	 3.87986348249532E-02 
395	 3.99273409233584E-02 
396	 3.99120401357715E-02 
397	 3.88656182044734E-02 
398	 3.92362290523438E-02 
399	 3.98580763629751E-02 
400	 3.93873078635824E-02 
401	 3.92897853260633E-02 
402	 3.95222333847833E-02 
403	 3.93395782411536E-02 
404	 3.90546733598466E-02 
405	 3.88185208125251E-02 
406	 3.87146915122317E-02 
407	 3.87913374540021E-02 
408	 3.90867104539266E-02 
409	 3.90288891746407E-02 
410	 3.88127452537572E-02 
411	 3.94592711238869E-02 
412	 3.97770416869946E-02 
413	 3.93503510031196E-02 
414	 3.94131960529079E-02 
415	 3.95682706964347E-02 
416	 3.91547214822677E-02 
417	 3.93309347732086E-02 
418	 0.039912217049298 
419	 3.94062392743004E-02 
420	 3.92791073320168E-02 
421	 4.01165891717963E-02 
422	 4.00961503041757E-02 
423	 0.039568874622013 
424	 3.93364389504981E-02 
425	 0.03915268009004 
426	 3.90545983047216E-02 
427	 3.93053271905216E-02 
428	 3.96165346768352E-02 
429	 3.97430944596108E-02 
430	 0.039328897759282 
431	 3.89691571076067E-02 
432	 3.97063540034786E-02 
433	 4.03016888199209E-02 
