Wavelength	AVEI200148.asd
325	 4.69803041205838E-02 
326	 4.37483275502918E-02 
327	 3.54728763707796E-02 
328	 3.79635495153993E-02 
329	 4.46577463764077E-02 
330	 5.06242696097004E-02 
331	 4.63409049403786E-02 
332	 3.86130789297394E-02 
333	 3.45952868121714E-02 
334	 3.63613239761304E-02 
335	 4.02453038696514E-02 
336	 3.71756281363497E-02 
337	 0.033929774280186 
338	 3.33950999081567E-02 
339	 3.84779273419732E-02 
340	 4.26733868059056E-02 
341	 4.12234955873802E-02 
342	 4.02629158819561E-02 
343	 4.04492246068359E-02 
344	 4.11799438557396E-02 
345	 4.08557242193005E-02 
346	 3.95902418904669E-02 
347	 3.98472564960511E-02 
348	 3.93851937139241E-02 
349	 3.70046417643869E-02 
350	 3.58107224841418E-02 
351	 3.58584124253209E-02 
352	 3.65431023518991E-02 
353	 3.75481730221196E-02 
354	 3.85223862804101E-02 
355	 3.90295587967028E-02 
356	 3.84023621951664E-02 
357	 3.66588840550713E-02 
358	 3.69527040553864E-02 
359	 3.80689521105246E-02 
360	 3.76281470525228E-02 
361	 3.79691578094147E-02 
362	 3.90021860665248E-02 
363	 3.86350662897781E-02 
364	 3.80011077128628E-02 
365	 3.77117113337274E-02 
366	 3.73548565823872E-02 
367	 3.70374228011612E-02 
368	 3.69459914341621E-02 
369	 3.65352340342023E-02 
370	 3.58339326855317E-02 
371	 3.52980357978329E-02 
372	 3.51248425104243E-02 
373	 0.035404425761835 
374	 3.60184553135027E-02 
375	 3.61477291443738E-02 
376	 3.47831606127367E-02 
377	 3.38399468632339E-02 
378	 3.37440226894726E-02 
379	 3.41978325822792E-02 
380	 3.44681514847318E-02 
381	 3.42614190019347E-02 
382	 3.44828147119736E-02 
383	 3.50414684965769E-02 
384	 3.57002479649093E-02 
385	 3.51189483369465E-02 
386	 3.37813006172569E-02 
387	 3.41944806793037E-02 
388	 3.47919508509707E-02 
389	 3.47751260650501E-02 
390	 3.41688425763171E-02 
391	 3.32751886015878E-02 
392	 3.24496805838646E-02 
393	 3.29337346345841E-02 
394	 3.41327464608637E-02 
395	 3.35961603194115E-02 
396	 3.34118790419705E-02 
397	 3.41418187736135E-02 
398	 3.36651189245857E-02 
399	 3.30654490394468E-02 
400	 3.35593370330956E-02 
401	 0.033599306314981 
402	 3.32089743973319E-02 
403	 3.31380100304879E-02 
404	 3.31142223147118E-02 
405	 3.29466130486897E-02 
406	 3.20651718467086E-02 
407	 3.13994373798658E-02 
408	 3.21006137128272E-02 
409	 0.032957654953248 
410	 3.33977953679689E-02 
411	 3.26701794567251E-02 
412	 3.20179405101889E-02 
413	 3.20401260070233E-02 
414	 3.23803545503983E-02 
415	 0.032538997638887 
416	 3.19463399728751E-02 
417	 3.17562332300588E-02 
418	 3.20434180371802E-02 
419	 3.21266441955596E-02 
