Wavelength	A00208.asd
325	 3.16077630267455E-02 
326	 3.67176123924964E-02 
327	 3.56618853653934E-02 
328	 3.93619490212294E-02 
329	 4.22466872978326E-02 
330	 4.18700294587966E-02 
331	 3.64455533880199E-02 
332	 3.15264091932841E-02 
333	 3.25395310118955E-02 
334	 3.78987554637177E-02 
335	 4.30601841848765E-02 
336	 3.83421200649374E-02 
337	 3.72074121808863E-02 
338	 4.19162757077045E-02 
339	 4.26623409196958E-02 
340	 3.99546328874772E-02 
341	 3.52593697162578E-02 
342	 3.52827563484172E-02 
343	 3.85926535162817E-02 
344	 4.10447432843345E-02 
345	 3.98234163753084E-02 
346	 3.57547720143954E-02 
347	 3.50085874384004E-02 
348	 3.67968216461857E-02 
349	 3.98616465234103E-02 
350	 4.01691044299662E-02 
351	 3.85629783289896E-02 
352	 3.71247435970661E-02 
353	 3.66709397758239E-02 
354	 3.73913518143722E-02 
355	 3.90473476266579E-02 
356	 3.95058225501636E-02 
357	 3.77703661921297E-02 
358	 3.62932791290204E-02 
359	 3.66463362467127E-02 
360	 4.06640323011599E-02 
361	 4.08489674329713E-02 
362	 0.037809884901828 
363	 4.05193158375845E-02 
364	 4.13792673416243E-02 
365	 3.73764114447606E-02 
366	 3.66910535901978E-02 
367	 3.76037974536759E-02 
368	 3.66936844353457E-02 
369	 3.72377162607474E-02 
370	 3.88153785723816E-02 
371	 3.74480650743809E-02 
372	 3.71628391374235E-02 
373	 3.96570599833027E-02 
374	 4.03264622183819E-02 
375	 4.02420261729666E-02 
376	 4.15213382101435E-02 
377	 4.07422458580565E-02 
378	 3.81764128188165E-02 
379	 3.69713306468633E-02 
380	 3.75158874699445E-02 
381	 3.94515118252384E-02 
382	 3.88179931726404E-02 
383	 0.037586494488481 
384	 3.88375132624321E-02 
385	 4.08822547141525E-02 
386	 4.20982385518511E-02 
387	 0.039068178938396 
388	 3.70551943734882E-02 
389	 0.038019555713512 
390	 3.78672761764575E-02 
391	 3.81121106915375E-02 
392	 4.08116647644225E-02 
393	 4.09434899277949E-02 
394	 3.88005023734507E-02 
395	 3.83590295506499E-02 
396	 0.03827614778993 
397	 0.038000747316322 
398	 3.75725187523424E-02 
399	 3.72172375379421E-02 
400	 3.71399625646559E-02 
401	 3.70706646230967E-02 
402	 0.03722768901671 
403	 3.84939077434772E-02 
404	 3.89388853389998E-02 
405	 3.80573320483979E-02 
406	 3.80956465892822E-02 
407	 3.88002744664172E-02 
408	 3.95792321969371E-02 
409	 3.95998309832135E-02 
410	 3.89469286912803E-02 
411	 0.038343021834072 
412	 3.83381158733474E-02 
413	 3.90668800574028E-02 
414	 3.96105109199177E-02 
415	 0.039634185204357 
416	 3.88662966094733E-02 
417	 3.83378775525046E-02 
418	 3.83564737259542E-02 
419	 3.90166596580767E-02 
420	 3.95180367896323E-02 
421	 3.94560023931098E-02 
422	 3.93883266149836E-02 
423	 3.95371712838701E-02 
424	 0.040134121730688 
425	 4.01436921114581E-02 
426	 3.97137098603548E-02 
427	 4.03998838109992E-02 
428	 4.11752036099355E-02 
429	 4.13445205690101E-02 
430	 4.11794874453553E-02 
431	 4.08587634604889E-02 
432	 4.06280729706375E-02 
433	 4.02718129356016E-02 
434	 3.98939249633187E-02 
435	 3.99687706019126E-02 
436	 4.01994903003328E-02 
437	 4.04044880944059E-02 
438	 4.09909862922029E-02 
439	 0.041403945422926 
440	 4.04961244057691E-02 
441	 4.00513238869015E-02 
442	 4.04399429381559E-02 
443	 4.06584512738118E-02 
444	 0.0408000113467 
445	 4.09874563787804E-02 
446	 4.15147311475378E-02 
447	 4.20789646907741E-02 
448	 4.19054835026607E-02 
449	 4.17398252556538E-02 
450	 4.18285221839825E-02 
451	 4.19924895060983E-02 
452	 4.22071663701598E-02 
453	 4.24547378989503E-02 
454	 4.27348993087567E-02 
455	 4.30079792888013E-02 
456	 4.32186661705252E-02 
457	 4.32037900450279E-02 
458	 4.29755571608963E-02 
459	 0.043066717755649 
460	 4.30699186332798E-02 
461	 4.24775963163801E-02 
462	 4.23213264559681E-02 
463	 4.26139325043555E-02 
464	 4.26386979079746E-02 
465	 4.25216720552579E-02 
466	 4.24125236730825E-02 
467	 4.29991055420937E-02 
468	 4.36415173890504E-02 
469	 4.33177277858905E-02 
470	 4.31161190577658E-02 
471	 4.32319555297298E-02 
472	 4.32584344125709E-02 
473	 4.33276538626418E-02 
474	 4.34742750934254E-02 
475	 4.32351877326132E-02 
476	 0.043041393820178 
477	 0.043801343353279 
478	 4.37137615687129E-02 
479	 4.27308320450189E-02 
480	 4.29295118916967E-02 
481	 4.35675254581948E-02 
482	 4.39742452115299E-02 
483	 0.044079939798096 
484	 4.40323611341498E-02 
485	 4.42829458830196E-02 
486	 4.43469876125564E-02 
487	 4.41248478503795E-02 
488	 4.40823761140655E-02 
489	 4.40171240681035E-02 
490	 4.37165601852409E-02 
491	 4.35784768513681E-02 
492	 4.37603176910212E-02 
493	 4.45425873057771E-02 
494	 4.49622634689844E-02 
495	 4.47012381218492E-02 
496	 4.47606508455238E-02 
497	 0.04501009194611 
498	 4.51560143439459E-02 
499	 4.51040561757333E-02 
500	 4.49799398730535E-02 
501	 4.53043025646204E-02 
502	 4.56558912184463E-02 
503	 0.045781732597268 
504	 4.58532281034849E-02 
505	 4.60051966938961E-02 
506	 4.64175680689495E-02 
507	 4.68863767895429E-02 
508	 4.72957308740583E-02 
509	 4.74747179604428E-02 
510	 4.75807776656579E-02 
511	 4.77692675248119E-02 
512	 4.82738518782471E-02 
513	 4.88955436854013E-02 
514	 4.90749156515389E-02 
515	 0.04926937619013 
516	 4.96366470454195E-02 
517	 5.00741979908189E-02 
518	 5.05210133955862E-02 
519	 5.09135481035304E-02 
520	 5.11994943056218E-02 
521	 5.15640718378666E-02 
522	 5.26208923802965E-02 
523	 0.053258090582616 
524	 5.31232343198032E-02 
525	 5.35867405661122E-02 
526	 5.43255136911208E-02 
527	 5.46736824074258E-02 
528	 5.49463365946524E-02 
529	 5.52530116536258E-02 
530	 5.57232987363096E-02 
531	 5.61762186181909E-02 
532	 5.65019453969505E-02 
533	 0.056912668687974 
534	 5.72334084959566E-02 
535	 5.70241835751571E-02 
536	 5.71303467455345E-02 
537	 5.77428726324017E-02 
538	 5.83555882229114E-02 
539	 5.88019099009945E-02 
540	 0.058956881110489 
541	 5.91403110072549E-02 
542	 5.93768107866185E-02 
543	 5.95216093651638E-02 
544	 5.97229097798832E-02 
545	 6.00373514948276E-02 
546	 6.04033078147586E-02 
547	 6.07176478340177E-02 
548	 6.08589101302734E-02 
549	 6.09482266944919E-02 
550	 6.11144015112961E-02 
551	 6.16866576212079E-02 
552	 6.21462730503041E-02 
553	 6.21914050407225E-02 
554	 6.22866498688371E-02 
555	 6.24711480639322E-02 
556	 6.26978173044429E-02 
557	 6.28544219804307E-02 
558	 6.28959756474196E-02 
559	 6.28281149846585E-02 
560	 6.27832323054853E-02 
561	 6.28854335026631E-02 
562	 6.31620627905702E-02 
563	 6.34451208843854E-02 
564	 6.32988254029199E-02 
565	 6.31561500374584E-02 
566	 6.31568624747513E-02 
567	 6.29838186432592E-02 
568	 6.27125416007148E-02 
569	 0.062472432150644 
570	 6.23776328138936E-02 
571	 6.24723829997085E-02 
572	 0.062863064979268 
573	 6.28329485677444E-02 
574	 6.20793369408726E-02 
575	 6.20167468589245E-02 
576	 6.24124300103073E-02 
577	 6.25079732408134E-02 
578	 6.21325506412297E-02 
579	 6.13994768322141E-02 
580	 6.11254199637089E-02 
581	 0.061104424606071 
582	 6.11207597840493E-02 
583	 6.12333465321492E-02 
584	 6.13592972119305E-02 
585	 0.061294695674119 
586	 6.12742648797068E-02 
587	 6.13128960946409E-02 
588	 6.09046016054722E-02 
589	 6.03736255950031E-02 
590	 0.060209953135412 
591	 0.060152324302901 
592	 6.01161176148227E-02 
593	 6.00210035952439E-02 
594	 0.059994680994642 
595	 6.01142804790297E-02 
596	 6.03397241538349E-02 
597	 6.06234583049239E-02 
598	 6.09435659070359E-02 
599	 6.07265649390986E-02 
600	 6.00326440870495E-02 
601	 5.99469755679289E-02 
602	 6.00674136822629E-02 
603	 0.060004661418857 
604	 5.99731150534618E-02 
605	 5.99438038530426E-02 
606	 5.97621889539886E-02 
607	 5.95987903395863E-02 
608	 5.95346415641705E-02 
609	 5.95915345750812E-02 
610	 5.96238823229727E-02 
611	 5.94519425977029E-02 
612	 5.93405915389612E-02 
613	 5.92621157697393E-02 
614	 5.88725885284145E-02 
615	 5.85784402162059E-02 
616	 5.85935742633817E-02 
617	 5.84779594796906E-02 
618	 0.058196482900441 
619	 0.057764448789754 
620	 5.77259954099563E-02 
621	 5.80552506632409E-02 
622	 5.78796669566991E-02 
623	 5.74827923099667E-02 
624	 5.71779263112792E-02 
625	 5.72544892877488E-02 
626	 5.75676696069285E-02 
627	 0.057619904904404 
628	 5.74972315921672E-02 
629	 5.72873058971662E-02 
630	 5.73825698176899E-02 
631	 5.75537972148305E-02 
632	 5.74767778919753E-02 
633	 5.78020426490105E-02 
634	 5.82563506901422E-02 
635	 5.73971413726483E-02 
636	 5.68395984017046E-02 
637	 5.73936441135121E-02 
638	 5.72133168041237E-02 
639	 5.66198133368058E-02 
640	 5.66297252043169E-02 
641	 5.65131620907689E-02 
642	 5.61275756979705E-02 
643	 5.57531705246253E-02 
644	 5.56525159002663E-02 
645	 5.59917612847907E-02 
646	 5.59337245295285E-02 
647	 5.54402154938273E-02 
648	 0.054808108268517 
649	 5.44914295987032E-02 
650	 5.45818081744124E-02 
651	 5.42518959362688E-02 
652	 5.38257284275835E-02 
653	 5.37623158857023E-02 
654	 5.37350252061625E-02 
655	 5.35950104877928E-02 
656	 5.30913354415299E-02 
657	 5.28161902668594E-02 
658	 5.29800043336813E-02 
659	 5.23343325614652E-02 
660	 5.14635504879776E-02 
661	 5.15696790811929E-02 
662	 5.09743600248769E-02 
663	 0.049653600681397 
664	 4.95284435779416E-02 
665	 4.99974552136299E-02 
666	 5.04098256872006E-02 
667	 4.97893328486326E-02 
668	 4.87022425352241E-02 
669	 4.90258318250357E-02 
670	 4.91201933451752E-02 
