Wavelength	AVEI200045.asd
325	 0.015716890011463 
326	 2.23267571247576E-02 
327	 3.25790762460198E-02 
328	 3.20197055677785E-02 
329	 2.95376366923106E-02 
330	 2.84937318477656E-02 
331	 0.027047039883826 
332	 2.58548414553134E-02 
333	 2.56165271342738E-02 
334	 0.027681364186692 
335	 3.01952508497709E-02 
336	 2.84127240581413E-02 
337	 2.74461820769308E-02 
338	 2.83284410296353E-02 
339	 2.79677792983129E-02 
340	 2.72006365210223E-02 
341	 0.026767514538732 
342	 2.54815842676106E-02 
343	 2.41314363185738E-02 
344	 2.45327489231555E-02 
345	 2.43378909070449E-02 
346	 2.34665585615681E-02 
347	 2.41502516949981E-02 
348	 2.51317533433645E-02 
349	 2.55081348874889E-02 
350	 2.58537604894929E-02 
351	 2.53437805430611E-02 
352	 2.23053027744428E-02 
353	 2.36899883620424E-02 
354	 0.028346759078067 
355	 2.56472094078217E-02 
356	 2.29069219669796E-02 
357	 2.42638473100381E-02 
358	 2.45772211090536E-02 
359	 2.42417989549619E-02 
360	 0.024784998209495 
361	 2.41605645326121E-02 
362	 2.27254036328125E-02 
363	 2.33847824289829E-02 
364	 2.36415944839819E-02 
365	 2.24303733125281E-02 
366	 2.22810973859887E-02 
367	 2.24615711824213E-02 
368	 2.16649746847468E-02 
369	 2.19471910309691E-02 
370	 2.32765095711469E-02 
371	 2.41513215265997E-02 
372	 0.024185453421735 
373	 2.32328173329151E-02 
374	 0.022086163707946 
375	 2.13719131856506E-02 
376	 2.17369702389825E-02 
377	 2.24590798415751E-02 
378	 2.30071215529946E-02 
379	 2.24348760055174E-02 
380	 2.16985172663128E-02 
381	 2.14689234629112E-02 
382	 2.23993903999363E-02 
383	 2.34605874161364E-02 
384	 2.32646969220409E-02 
385	 2.25267539250329E-02 
386	 2.18219119151959E-02 
387	 2.23593728647305E-02 
388	 2.25962397403742E-02 
389	 2.20127459332613E-02 
390	 2.22378253226394E-02 
391	 2.24532489796062E-02 
392	 2.15980870782873E-02 
393	 2.14065433004345E-02 
394	 2.19448971878916E-02 
395	 2.23135203247073E-02 
396	 2.25542309561747E-02 
397	 2.27287393295643E-02 
398	 2.33153547727348E-02 
399	 2.34956790046559E-02 
400	 2.24950134578515E-02 
401	 2.22353009265839E-02 
402	 2.26301718253935E-02 
403	 2.25632484637968E-02 
404	 2.25047134837842E-02 
405	 2.25771065563381E-02 
406	 2.24457351001194E-02 
407	 2.20528136253864E-02 
408	 2.13747741963105E-02 
409	 2.13116493948204E-02 
410	 2.18562122513137E-02 
411	 0.022448649619612 
412	 2.25494300866819E-02 
413	 2.20743996462779E-02 
414	 2.23616577554034E-02 
