Wavelength	A00335.asd
325	 0.054848847188817 
326	 5.47147022990393E-02 
327	 5.80419177344171E-02 
328	 6.20538638184847E-02 
329	 6.32325789637943E-02 
330	 6.13871299342666E-02 
331	 6.29768900868339E-02 
332	 6.49648623792016E-02 
333	 6.41652822052945E-02 
334	 6.64947946321323E-02 
335	 6.96148093559736E-02 
336	 6.55214681932811E-02 
337	 6.44014144674989E-02 
338	 6.83156899179788E-02 
339	 7.15118608621087E-02 
340	 7.18997713675506E-02 
341	 6.85933030020388E-02 
342	 6.80216080245658E-02 
343	 6.97018591629151E-02 
344	 7.10846290799839E-02 
345	 6.97311878642092E-02 
346	 6.63758979239787E-02 
347	 6.67867658087837E-02 
348	 6.72543130776794E-02 
349	 6.55387981118475E-02 
350	 6.54536767840807E-02 
351	 6.61840594804427E-02 
352	 6.57116326446316E-02 
353	 6.57144468430464E-02 
354	 6.63888818906161E-02 
355	 6.71265340967665E-02 
356	 6.68024706227361E-02 
357	 0.065283894204646 
358	 6.70750087135786E-02 
359	 6.97533030216237E-02 
360	 0.069043219421867 
361	 6.70011115510775E-02 
362	 6.52034432730438E-02 
363	 6.70023388822108E-02 
364	 0.068200102725652 
365	 6.69468824351028E-02 
366	 6.70220318137829E-02 
367	 6.74506240063319E-02 
368	 6.64342306470937E-02 
369	 6.60288483034612E-02 
370	 6.63265135179293E-02 
371	 0.06582980099444 
372	 6.60436883851225E-02 
373	 6.75354054142455E-02 
374	 6.82728274278778E-02 
375	 6.84116975874863E-02 
376	 0.068502251356038 
377	 6.89755005045418E-02 
378	 6.94514870227084E-02 
379	 6.81975920762654E-02 
380	 0.067462771049866 
381	 6.82497265435934E-02 
382	 6.89822313872169E-02 
383	 6.93176632790299E-02 
384	 6.90333165340163E-02 
385	 6.89357860827602E-02 
386	 6.87176514211955E-02 
387	 6.67451732262613E-02 
388	 6.52275293268095E-02 
389	 6.51216034053982E-02 
390	 6.54459023050129E-02 
391	 0.066369514542926 
392	 6.81464658658049E-02 
393	 6.81474811190601E-02 
394	 6.67933729942328E-02 
395	 6.69692368445935E-02 
396	 6.72660801899739E-02 
397	 6.69560310381279E-02 
398	 6.54449295595234E-02 
399	 6.40137029853771E-02 
400	 6.38743611230288E-02 
401	 6.41159935381542E-02 
402	 6.46890829811043E-02 
403	 6.61663914152939E-02 
404	 6.69335984614289E-02 
405	 6.65302991507742E-02 
406	 6.67774416649677E-02 
407	 6.71145030126705E-02 
408	 6.66645416569586E-02 
409	 6.61051746368978E-02 
