Wavelength	SHSI00143.asd
325	 4.13149234570514E-02 
326	 4.69776057088315E-02 
327	 0.054561719734234 
328	 5.35801582753771E-02 
329	 5.16030228659189E-02 
330	 5.12332150550243E-02 
331	 4.99875543143922E-02 
332	 4.90841171924287E-02 
333	 4.97048994774336E-02 
334	 4.97644879714443E-02 
335	 4.93933006644929E-02 
336	 4.95209542461574E-02 
337	 5.09747615720983E-02 
338	 5.33599224976788E-02 
339	 5.47405663150588E-02 
340	 5.18262171364372E-02 
341	 4.34309805833366E-02 
342	 4.56893325684987E-02 
343	 5.33868943990267E-02 
344	 5.26724490804456E-02 
345	 5.04841901859505E-02 
346	 4.87120693440819E-02 
347	 4.69945250084566E-02 
348	 4.63205557200643E-02 
349	 4.72923873624268E-02 
350	 4.95399953701102E-02 
351	 5.14479749906993E-02 
352	 5.07597566535293E-02 
353	 0.0501632629479 
354	 4.99679601676844E-02 
355	 4.83329340632567E-02 
356	 4.79850998601293E-02 
357	 5.01772144413353E-02 
358	 5.13302789024938E-02 
359	 5.14918624674101E-02 
360	 5.14626743964337E-02 
361	 5.08087869905448E-02 
362	 4.98069010798265E-02 
363	 4.95307599308224E-02 
364	 4.89729944289532E-02 
365	 4.79479341363951E-02 
366	 4.89912162086665E-02 
367	 5.01893863077729E-02 
368	 4.87624474279831E-02 
369	 4.79517066740304E-02 
370	 4.82523087763854E-02 
371	 4.87120558276206E-02 
372	 4.88473847492377E-02 
373	 4.85168837297551E-02 
374	 4.90560680709739E-02 
375	 4.93239204693881E-02 
376	 4.76544822042734E-02 
377	 4.71869610984959E-02 
378	 4.79711146053453E-02 
379	 4.75940064312114E-02 
380	 4.67514656455419E-02 
381	 4.60904304466943E-02 
382	 4.75683624437946E-02 
383	 4.86099522338574E-02 
384	 4.58117689791392E-02 
385	 4.49723887235163E-02 
386	 4.66343760630373E-02 
387	 4.78488501255397E-02 
388	 4.83110707254913E-02 
389	 4.78557070777838E-02 
390	 4.69525745065132E-02 
391	 4.61761393932117E-02 
392	 4.60757457608776E-02 
393	 4.62903713834665E-02 
394	 4.64985785297064E-02 
395	 4.59759437156262E-02 
396	 0.046056180177212 
397	 4.69478054613684E-02 
398	 4.64346937100554E-02 
399	 0.045850211826487 
400	 4.66632525987395E-02 
401	 4.75720261113786E-02 
402	 4.79186893163744E-02 
403	 4.66094942088984E-02 
404	 4.58267385071682E-02 
405	 4.62456924229069E-02 
406	 4.60018093895667E-02 
407	 4.56297960023905E-02 
408	 4.59641892933734E-02 
409	 4.62520071229737E-02 
410	 4.63492642202805E-02 
411	 4.63750422142369E-02 
412	 0.046344201769103 
413	 0.046259564297265 
414	 4.60221520264412E-02 
415	 4.58645964427263E-02 
416	 4.60861360960629E-02 
417	 4.59135735511582E-02 
418	 4.54234618988991E-02 
419	 4.53946428865233E-02 
420	 4.55531352175213E-02 
421	 4.57486441243054E-02 
422	 4.60649511619644E-02 
423	 0.046227272929214 
424	 4.58412049347645E-02 
425	 4.58098231463112E-02 
426	 4.60287826349483E-02 
427	 4.51371956583274E-02 
428	 0.044686780029362 
429	 4.55153858532151E-02 
430	 4.57319496121058E-02 
431	 4.53854606236055E-02 
432	 4.49660078217842E-02 
433	 4.51776693098196E-02 
434	 4.58744567727214E-02 
435	 4.57611530587209E-02 
436	 4.55082409003818E-02 
437	 4.55540697109732E-02 
438	 4.55081293558156E-02 
439	 4.54452400378305E-02 
440	 4.56001164559065E-02 
441	 4.56657386517234E-02 
442	 4.55729182977989E-02 
443	 4.54233431911454E-02 
444	 4.54388881279508E-02 
445	 4.57564190772261E-02 
446	 4.58901942514626E-02 
447	 4.58405663733288E-02 
448	 4.57923505532024E-02 
449	 4.57836411072054E-02 
450	 4.58306282598903E-02 
451	 4.59210719518599E-02 
452	 4.58367880704569E-02 
453	 4.54138777731718E-02 
454	 4.55829320475529E-02 
455	 4.61999173353028E-02 
456	 0.046394137886833 
457	 4.63235759512649E-02 
458	 4.60878980168799E-02 
459	 4.59989029487559E-02 
460	 4.60337080353502E-02 
461	 4.61245053060466E-02 
462	 0.046250456246992 
463	 4.63566898681438E-02 
464	 4.63647355871679E-02 
465	 4.61013436139944E-02 
466	 4.56434832158938E-02 
467	 4.61781390092619E-02 
468	 4.69286993176494E-02 
469	 4.65859915863965E-02 
470	 4.63126606644193E-02 
471	 4.63488264460431E-02 
472	 4.63579085887326E-02 
473	 4.65679884233769E-02 
474	 4.70529465416193E-02 
475	 4.72345427039427E-02 
476	 4.71840858835736E-02 
477	 4.71645594053234E-02 
478	 4.72687221957254E-02 
479	 4.74240439201264E-02 
480	 4.71556559044433E-02 
481	 4.69011193842167E-02 
482	 0.047014053368297 
483	 4.72679676510434E-02 
484	 4.73898718873213E-02 
485	 4.67512893087479E-02 
486	 4.66474933390641E-02 
487	 4.73228000966431E-02 
488	 4.72787272976607E-02 
489	 4.69492086117881E-02 
490	 4.68928792175558E-02 
491	 4.71867950043488E-02 
492	 4.76206252892195E-02 
493	 4.76027667246229E-02 
494	 4.74706625572819E-02 
495	 4.73930384022937E-02 
496	 4.74452583706689E-02 
497	 4.75705586261295E-02 
498	 4.76822708426005E-02 
499	 4.78074223021951E-02 
500	 0.047949874905617 
501	 0.048154436356812 
502	 4.81606621645885E-02 
503	 0.04789838522203 
504	 4.81347731689647E-02 
505	 4.85447065452199E-02 
506	 4.84224051592792E-02 
507	 4.83740205480347E-02 
508	 4.85573698076085E-02 
509	 4.88795642522342E-02 
510	 4.91959069121975E-02 
511	 4.93819427980221E-02 
512	 0.04938372436872 
513	 4.93229794768808E-02 
514	 4.94945237168031E-02 
515	 4.96621927047079E-02 
516	 4.97678594825147E-02 
517	 4.99816390196635E-02 
518	 5.01736406678821E-02 
519	 5.01968925270752E-02 
520	 5.01266313107466E-02 
521	 5.01240920404368E-02 
522	 5.05796526985263E-02 
523	 5.09743102386177E-02 
524	 5.10551903640541E-02 
525	 5.08693372399619E-02 
526	 5.07631830023559E-02 
527	 5.12094500720615E-02 
528	 5.14580417765079E-02 
529	 5.14361033012757E-02 
530	 0.051625179919788 
531	 5.18821336317871E-02 
532	 5.20995025800333E-02 
533	 5.22251988860859E-02 
534	 5.22418656598672E-02 
535	 5.21000434484072E-02 
536	 5.22574730721785E-02 
