Wavelength	A00374.asd
325	 1.93164300392545E-02 
326	 2.84654993202934E-02 
327	 4.98616057032129E-02 
328	 0.044969088326128 
329	 0.037522130863038 
330	 3.59872706142709E-02 
331	 3.40997123176824E-02 
332	 3.46495053010806E-02 
333	 4.01658199028613E-02 
334	 4.11870676180062E-02 
335	 3.91749165411946E-02 
336	 0.041296653898251 
337	 4.30387715261848E-02 
338	 4.31265643047546E-02 
339	 4.30110784302108E-02 
340	 4.02418780718207E-02 
341	 3.38198947683407E-02 
342	 3.54567440982689E-02 
343	 4.19924881885356E-02 
344	 4.49838594666527E-02 
345	 0.043880199383332 
346	 0.040371308223552 
347	 4.22237864593629E-02 
348	 4.36836408127526E-02 
349	 4.13080896945566E-02 
350	 4.10354084494369E-02 
351	 4.14801864229282E-02 
352	 3.91802161581231E-02 
353	 3.85358133607201E-02 
354	 4.01437725169428E-02 
355	 4.21818973728013E-02 
356	 4.27384810283281E-02 
357	 4.11946740081039E-02 
358	 4.21332765487204E-02 
359	 4.42303805661189E-02 
360	 4.47753126387238E-02 
361	 4.27416459209608E-02 
362	 0.039822652094013 
363	 4.25450097972094E-02 
364	 4.40007001121514E-02 
365	 4.12401187804314E-02 
366	 4.06961788043953E-02 
367	 4.13608257318147E-02 
368	 4.09919417638005E-02 
369	 4.20111025580333E-02 
370	 4.37885835545147E-02 
371	 4.24567893096844E-02 
372	 4.15208232023495E-02 
373	 4.26119683490718E-02 
374	 4.27254981341804E-02 
375	 4.22482810230806E-02 
376	 4.21400753826656E-02 
377	 4.26110981787924E-02 
378	 4.32030673224825E-02 
379	 4.20001781875113E-02 
380	 4.20891060100029E-02 
381	 4.44016771077295E-02 
382	 4.41933964823373E-02 
383	 4.28591744897321E-02 
384	 4.28359894121761E-02 
385	 4.44136019863077E-02 
386	 4.63482712076756E-02 
387	 4.48599710858273E-02 
388	 4.34145479907316E-02 
389	 4.32190375143324E-02 
390	 4.08110054373687E-02 
391	 4.00617152585657E-02 
392	 4.54621134892254E-02 
393	 4.56020921930336E-02 
394	 4.13615271838107E-02 
395	 4.25549659886647E-02 
396	 4.39285130808254E-02 
397	 4.33185318279482E-02 
398	 4.15914695342085E-02 
399	 4.00420454923265E-02 
400	 3.97762152796245E-02 
